# index, name, _pos
128,6483,"array([ 1.34849391, 12.74454261])"
129,5072,"array([ 1.34845052, 12.74402297])"
130,308,"array([ 1.34836283, 12.7442474 ])"
131,29239,"array([ 1.34906116, 12.74441118])"
132,53793,"array([ 1.34969844, 12.74434171])"
133,38791,"array([ 1.34820916, 12.74428963])"
134,38803,"array([ 1.34881309, 12.74464492])"
135,2677,"array([ 1.34859171, 12.74447566])"
136,53795,"array([ 1.34918726, 12.74435759])"
137,26524,"array([ 1.34870355, 12.74424359])"
138,25419,"array([ 1.34860855, 12.74500756])"
139,65992,"array([ 1.34843659, 12.74422705])"
140,40466,"array([ 1.34848867, 12.74432277])"
141,43274,"array([ 1.34833366, 12.74412093])"
142,11091,"array([ 1.34863659, 12.74426835])"
143,48140,"array([ 1.34816879, 12.74509492])"
144,40226,"array([ 1.34827854, 12.74483563])"
145,47884,"array([ 1.34840019, 12.74443313])"
146,61988,"array([ 1.34832766, 12.7443281 ])"
147,5643,"array([ 1.34884103, 12.74487819])"
148,61911,"array([ 1.34874108, 12.74365554])"
149,30065,"array([ 1.34863744, 12.74398224])"
150,67893,"array([ 1.34845627, 12.74370591])"
151,27079,"array([ 1.3486983 , 12.74452424])"
152,52761,"array([ 1.34871834, 12.74399626])"
153,69240,"array([ 1.34844232, 12.74447356])"
154,44350,"array([ 1.34859344, 12.74424687])"
155,63889,"array([ 1.34813532, 12.74462723])"
156,32899,"array([ 1.34854029, 12.74422405])"
157,7098,"array([ 1.34904803, 12.74350825])"
158,32903,"array([ 1.34854505, 12.74459258])"
159,66322,"array([ 1.34871406, 12.74409201])"
160,59517,"array([ 1.34944912, 12.74378821])"
161,11136,"array([ 1.34850815, 12.74438124])"
162,53585,"array([ 1.34833533, 12.74460988])"
163,38078,"array([ 1.34808129, 12.744268  ])"
164,42463,"array([ 1.34893335, 12.7441724 ])"
165,20069,"array([ 1.34825173, 12.74438824])"
166,8472,"array([ 1.3481511 , 12.74422143])"
167,34826,"array([ 1.3480709 , 12.74465431])"
168,19781,"array([ 1.34837749, 12.7444854 ])"
169,14655,"array([ 1.3486213 , 12.74446291])"
170,18717,"array([ 1.34897015, 12.74429487])"
171,38091,"array([ 1.34840102, 12.74450664])"
172,47075,"array([ 1.34851978, 12.74441806])"
173,45454,"array([ 1.34837063, 12.74438147])"
174,67669,"array([ 1.34873601, 12.74441917])"
175,48202,"array([ 1.34913712, 12.74428628])"
176,1850,"array([ 1.34920943, 12.744529  ])"
177,58363,"array([ 1.34893754, 12.7447692 ])"
178,34124,"array([ 1.34869558, 12.74444141])"
179,45886,"array([ 1.34835923, 12.74414393])"
180,3060,"array([ 1.34882065, 12.74421081])"
181,36204,"array([ 1.34877766, 12.74437778])"
182,24446,"array([ 1.34881299, 12.7446236 ])"
183,29419,"array([ 1.34815448, 12.74465724])"
184,9525,"array([ 1.34881522, 12.74409037])"
185,16566,"array([ 1.34809248, 12.74474553])"
186,38878,"array([ 1.34822187, 12.74474072])"
187,41920,"array([ 1.34905105, 12.7444718 ])"
188,12265,"array([ 1.34964442, 12.74447239])"
189,68221,"array([ 1.34861416, 12.74439383])"
190,57722,"array([ 1.34849495, 12.74373482])"
191,62672,"array([ 1.34946764, 12.74517848])"
192,32390,"array([ 1.34854326, 12.74391923])"
193,27757,"array([ 1.34881661, 12.74430194])"
194,20995,"array([ 1.34868979, 12.74409885])"
195,32402,"array([ 1.34819458, 12.74416518])"
196,15590,"array([ 1.34858819, 12.74462782])"
197,54767,"array([ 1.34806079, 12.74436465])"
198,28555,"array([ 1.34781516, 12.74547038])"
199,10421,"array([ 1.34824735, 12.74475586])"
200,60442,"array([ 1.34910401, 12.74389538])"
201,53121,"array([ 1.34785895, 12.74364275])"
202,27206,"array([ 1.34907594, 12.74403423])"
203,30226,"array([ 1.34849569, 12.74416098])"
204,8804,"array([ 1.34855415, 12.74468694])"
205,39246,"array([ 1.34906887, 12.7457135 ])"
206,21800,"array([ 1.3490249 , 12.74415888])"
207,47452,"array([ 1.34852339, 12.74427963])"
208,65885,"array([ 1.34821985, 12.74502104])"
209,44248,"array([ 1.34772001, 12.74446836])"
210,66431,"array([ 1.34906885, 12.7443568 ])"
211,28495,"array([ 1.34821959, 12.74444191])"
212,32713,"array([ 1.34838103, 12.74452895])"
213,23182,"array([ 1.3481005 , 12.74456572])"
214,25360,"array([ 1.34834851, 12.74411209])"
215,8595,"array([ 1.34861718, 12.74447983])"
216,68290,"array([ 1.34874368, 12.74424141])"
217,39880,"array([ 1.34819271, 12.74437625])"
218,21836,"array([ 1.34858032, 12.74456031])"
219,59925,"array([ 1.34891088, 12.74483629])"
220,36180,"array([ 1.34860009, 12.74438053])"
221,35505,"array([ 1.34876137, 12.74465627])"
222,19637,"array([ 1.34884449, 12.74473984])"
223,241,"array([ 1.34919896, 12.74413012])"
224,69386,"array([ 1.34908365, 12.74448838])"
225,6412,"array([ 1.34853906, 12.74407393])"
226,27817,"array([ 1.34881044, 12.744098  ])"
227,46367,"array([ 1.34852634, 12.74449744])"
228,53268,"array([ 1.34835854, 12.7446378 ])"
229,29959,"array([ 1.34830782, 12.74494083])"
230,29827,"array([ 1.34877156, 12.74445082])"
231,43262,"array([ 1.34848887, 12.74398833])"
232,1857,"array([ 1.34846305, 12.74468038])"
233,20795,"array([ 1.34891216, 12.74437636])"
234,5289,"array([ 1.34861034, 12.7443775 ])"
235,7,"array([ 1.34704571, 12.74478159])"
236,58047,"array([ 1.34723352, 12.74587663])"
237,14468,"array([ 1.34739745, 12.74480288])"
238,64031,"array([ 1.34797558, 12.74421118])"
239,60250,"array([ 1.34775627, 12.74539457])"
240,33687,"array([ 1.34750187, 12.7444592 ])"
241,55993,"array([ 1.34747112, 12.74579041])"
242,62589,"array([ 1.34791659, 12.74485159])"
243,42054,"array([ 1.3465977, 12.7450176])"
244,37683,"array([ 1.34818864, 12.74454055])"
245,56148,"array([ 1.34766691, 12.74567373])"
246,63230,"array([ 1.34830204, 12.74446659])"
247,3666,"array([ 1.34814528, 12.74554119])"
248,51722,"array([ 1.34746044, 12.7450414 ])"
249,1535,"array([ 1.34778039, 12.7447304 ])"
250,4728,"array([ 1.3478165 , 12.74438396])"
251,33820,"array([ 1.34782802, 12.74574938])"
252,55683,"array([ 1.34758515, 12.74532904])"
253,32314,"array([ 1.34772452, 12.74416358])"
254,60536,"array([ 1.34837903, 12.74407247])"
255,37697,"array([ 1.3484408, 12.7447451])"
256,50128,"array([ 1.34730176, 12.74556879])"
257,11535,"array([ 1.34833732, 12.74433882])"
258,16770,"array([ 1.34677626, 12.74524989])"
259,2867,"array([ 1.34795739, 12.74486811])"
260,64699,"array([ 1.34731782, 12.74602946])"
261,64554,"array([ 1.34773425, 12.74413791])"
262,65372,"array([ 1.34790574, 12.74477504])"
263,47134,"array([ 1.34832238, 12.74429875])"
264,36256,"array([ 1.34785795, 12.74524008])"
265,59940,"array([ 1.34739326, 12.7456746 ])"
266,34706,"array([ 1.34826963, 12.74395513])"
267,62854,"array([ 1.34842563, 12.7440079 ])"
268,32470,"array([ 1.34747875, 12.74468841])"
269,45531,"array([ 1.3480653 , 12.74430968])"
270,58296,"array([ 1.34699472, 12.74587702])"
271,42924,"array([ 1.3474349 , 12.74543678])"
272,2075,"array([ 1.34766065, 12.74527976])"
273,40543,"array([ 1.34783458, 12.74563334])"
274,8,"array([ 1.35130588, 12.74720178])"
275,15377,"array([ 1.34967497, 12.74721667])"
276,4411,"array([ 1.3486892 , 12.74465539])"
277,9,"array([ 1.34838256, 12.74505813])"
278,35264,"array([ 1.34750593, 12.74538781])"
279,47459,"array([ 1.34803178, 12.74842705])"
280,58122,"array([ 1.34965094, 12.74389839])"
281,45355,"array([ 1.34910007, 12.74428929])"
282,19908,"array([ 1.34873841, 12.74412224])"
283,56478,"array([ 1.3492748 , 12.74409483])"
284,63546,"array([ 1.34909268, 12.74423634])"
285,55397,"array([ 1.34851718, 12.74437966])"
286,47831,"array([ 1.34775525, 12.74449892])"
287,49450,"array([ 1.34764039, 12.74587637])"
288,30001,"array([ 1.34794773, 12.74608082])"
289,15902,"array([ 1.34795461, 12.74501525])"
290,22725,"array([ 1.34887381, 12.74402379])"
291,28654,"array([ 1.34744803, 12.74439185])"
292,47434,"array([ 1.34868943, 12.74438277])"
293,4017,"array([ 1.34825277, 12.74421114])"
294,49986,"array([ 1.34769392, 12.74487984])"
295,46882,"array([ 1.34964043, 12.74416724])"
296,59184,"array([ 1.34923843, 12.74383775])"
297,58413,"array([ 1.34788106, 12.74498341])"
298,58715,"array([ 1.34745957, 12.74512439])"
299,2065,"array([ 1.34716085, 12.74574528])"
300,12133,"array([ 1.34780375, 12.74470664])"
301,34497,"array([ 1.34814225, 12.74483159])"
302,64653,"array([ 1.34812361, 12.74495323])"
303,17592,"array([ 1.34856481, 12.745487  ])"
304,31736,"array([ 1.34763349, 12.74511575])"
305,42103,"array([ 1.34842093, 12.74424927])"
306,29207,"array([ 1.34778443, 12.74519253])"
307,23838,"array([ 1.34718812, 12.74561574])"
308,25460,"array([ 1.34737088, 12.74505827])"
309,38066,"array([ 1.34756772, 12.74474916])"
310,10043,"array([ 1.3466891 , 12.74535806])"
311,27905,"array([ 1.34831243, 12.7446824 ])"
312,13210,"array([ 1.34760138, 12.74510266])"
313,22496,"array([ 1.34764349, 12.74508004])"
314,36998,"array([ 1.34756321, 12.74589604])"
315,21150,"array([ 1.34911244, 12.74482252])"
316,65476,"array([ 1.34947337, 12.74384048])"
317,16619,"array([ 1.34910613, 12.74420145])"
318,47899,"array([ 1.34875396, 12.74396942])"
319,4605,"array([ 1.34902742, 12.74400194])"
320,55476,"array([ 1.34924261, 12.74405604])"
321,36975,"array([ 1.34828081, 12.74467675])"
322,45165,"array([ 1.34920851, 12.74444631])"
323,49517,"array([ 1.34874418, 12.74404603])"
324,50067,"array([ 1.34766758, 12.744923  ])"
325,12464,"array([ 1.34827583, 12.74440184])"
326,11922,"array([ 1.34769534, 12.74526151])"
327,6812,"array([ 1.34745215, 12.74546875])"
328,32256,"array([ 1.34700676, 12.74539707])"
329,63379,"array([ 1.34973607, 12.74477414])"
330,7131,"array([ 1.34776773, 12.74481284])"
331,42169,"array([ 1.34837202, 12.74476416])"
332,45653,"array([ 1.34799049, 12.74456788])"
333,4893,"array([ 1.34787575, 12.74484015])"
334,13531,"array([ 1.34742135, 12.74563927])"
335,14194,"array([ 1.34752652, 12.74416513])"
336,36487,"array([ 1.34894118, 12.74359258])"
337,62320,"array([ 1.34918141, 12.74447756])"
338,35200,"array([ 1.34791654, 12.7447131 ])"
339,398,"array([ 1.34874064, 12.74454879])"
340,29587,"array([ 1.34827481, 12.74442066])"
341,24328,"array([ 1.34817329, 12.74464646])"
342,42199,"array([ 1.34745027, 12.74542646])"
343,35394,"array([ 1.34850719, 12.74417452])"
344,41918,"array([ 1.34854544, 12.74467225])"
345,14137,"array([ 1.34806202, 12.74471174])"
346,52549,"array([ 1.3487544 , 12.74452334])"
347,20385,"array([ 1.34753927, 12.74465593])"
348,31296,"array([ 1.34910191, 12.74424254])"
349,35406,"array([ 1.34880814, 12.74434079])"
350,24472,"array([ 1.34787476, 12.74426233])"
351,66911,"array([ 1.34858725, 12.74371987])"
352,32661,"array([ 1.34800481, 12.74473512])"
353,12271,"array([ 1.34969066, 12.74397114])"
354,62889,"array([ 1.34887657, 12.74481256])"
355,25038,"array([ 1.34892946, 12.74404845])"
356,40320,"array([ 1.34757063, 12.74559852])"
357,11994,"array([ 1.34735299, 12.74576622])"
358,11478,"array([ 1.34882181, 12.74468882])"
359,21248,"array([ 1.34849907, 12.74431034])"
360,67731,"array([ 1.34817025, 12.74440263])"
361,8839,"array([ 1.34784195, 12.74486768])"
362,31578,"array([ 1.34839578, 12.74441444])"
363,28155,"array([ 1.34769506, 12.74503765])"
364,67930,"array([ 1.34893324, 12.74366846])"
365,1712,"array([ 1.34750785, 12.74492914])"
366,41552,"array([ 1.34826217, 12.74463093])"
367,64797,"array([ 1.34815161, 12.74442598])"
368,55856,"array([ 1.34852166, 12.74532501])"
369,7269,"array([ 1.34830702, 12.74379978])"
370,22348,"array([ 1.34787215, 12.74497158])"
371,1224,"array([ 1.34734269, 12.74519313])"
372,30229,"array([ 1.348025  , 12.74491597])"
373,33284,"array([ 1.34873694, 12.74429568])"
374,19598,"array([ 1.34764436, 12.74605153])"
375,45001,"array([ 1.34752376, 12.74578581])"
376,61847,"array([ 1.34889716, 12.74462615])"
377,22911,"array([ 1.34926045, 12.74436798])"
378,45827,"array([ 1.34909716, 12.743805  ])"
379,33325,"array([ 1.34750583, 12.74507935])"
380,69126,"array([ 1.34804543, 12.74435625])"
381,43686,"array([ 1.34839483, 12.74422808])"
382,37106,"array([ 1.34706327, 12.74514318])"
383,40110,"array([ 1.3481977 , 12.74435733])"
384,37108,"array([ 1.34758539, 12.74583965])"
385,48296,"array([ 1.34979692, 12.74464504])"
386,52071,"array([ 1.34797108, 12.74439635])"
387,16840,"array([ 1.34728735, 12.74568242])"
388,26152,"array([ 1.3489087 , 12.74428938])"
389,34950,"array([ 1.34714279, 12.74605252])"
390,38659,"array([ 1.34816154, 12.74549531])"
391,59372,"array([ 1.34782584, 12.74472579])"
392,16982,"array([ 1.34820212, 12.74390614])"
393,58067,"array([ 1.34933765, 12.74402855])"
394,2115,"array([ 1.34988767, 12.74535196])"
395,10665,"array([ 1.34790031, 12.74471417])"
396,18600,"array([ 1.34856115, 12.74417453])"
397,37421,"array([ 1.34848034, 12.74430851])"
398,45595,"array([ 1.34710851, 12.74557833])"
399,68864,"array([ 1.34730297, 12.74527801])"
400,13686,"array([ 1.34748657, 12.74532688])"
401,58109,"array([ 1.34794089, 12.74503774])"
402,53992,"array([ 1.34725279, 12.74515478])"
403,12361,"array([ 1.34734822, 12.74534023])"
404,10,"array([ 1.349879  , 12.74425847])"
405,16613,"array([ 1.34852322, 12.74415199])"
406,60940,"array([ 1.34888153, 12.74437985])"
407,29801,"array([ 1.34915723, 12.74429744])"
408,49319,"array([ 1.34935137, 12.74409926])"
409,4032,"array([ 1.34869882, 12.74428473])"
410,36008,"array([ 1.34871691, 12.74376319])"
411,30275,"array([ 1.34880136, 12.74407966])"
412,25876,"array([ 1.34770336, 12.74507227])"
413,8063,"array([ 1.3489146 , 12.74436677])"
414,9264,"array([ 1.34918125, 12.74428713])"
415,8618,"array([ 1.34812878, 12.74402957])"
416,67743,"array([ 1.34858101, 12.74409106])"
417,42588,"array([ 1.34889798, 12.74415976])"
418,57335,"array([ 1.34897934, 12.74454317])"
419,2310,"array([ 1.34836035, 12.7442273 ])"
420,35461,"array([ 1.34825376, 12.74461703])"
421,65720,"array([ 1.3482628 , 12.74451273])"
422,45553,"array([ 1.34906055, 12.74422818])"
423,68055,"array([ 1.34909296, 12.74489778])"
424,43378,"array([ 1.34860852, 12.74419674])"
425,41813,"array([ 1.34823047, 12.74383869])"
426,11,"array([ 1.35035749, 12.74260856])"
427,48006,"array([ 1.34750432, 12.74370159])"
428,47562,"array([ 1.34876515, 12.74395916])"
429,12,"array([ 1.34576839, 12.74660732])"
430,43940,"array([ 1.34779764, 12.7455312 ])"
431,21184,"array([ 1.34778765, 12.74550627])"
432,38013,"array([ 1.34822124, 12.74487743])"
433,13,"array([ 1.34896565, 12.74293546])"
434,32756,"array([ 1.34865694, 12.74420613])"
435,20041,"array([ 1.34836271, 12.74447604])"
436,63342,"array([ 1.34824901, 12.7445765 ])"
437,12775,"array([ 1.349033  , 12.74390597])"
438,52750,"array([ 1.34866461, 12.74422896])"
439,17421,"array([ 1.34896909, 12.74396332])"
440,53341,"array([ 1.34928575, 12.74428107])"
441,47337,"array([ 1.34879555, 12.74413483])"
442,40183,"array([ 1.34879429, 12.74446229])"
443,64680,"array([ 1.34910526, 12.74400224])"
444,16799,"array([ 1.34843755, 12.74439652])"
445,4215,"array([ 1.34882347, 12.74401485])"
446,50625,"array([ 1.34871098, 12.74412422])"
447,46652,"array([ 1.34905274, 12.74387149])"
448,2313,"array([ 1.34882561, 12.74410766])"
449,68025,"array([ 1.34929289, 12.74414837])"
450,14,"array([ 1.35092933, 12.74187652])"
451,22146,"array([ 1.34990086, 12.74420327])"
452,33014,"array([ 1.348581  , 12.74379531])"
453,15,"array([ 1.34864709, 12.74185047])"
454,20241,"array([ 1.34897267, 12.74413025])"
455,62640,"array([ 1.34813403, 12.74396277])"
456,32686,"array([ 1.34885745, 12.74390215])"
457,52226,"array([ 1.34887494, 12.74419107])"
458,16,"array([ 1.34915181, 12.74366055])"
459,17531,"array([ 1.34823436, 12.74450954])"
460,68729,"array([ 1.34846976, 12.74421134])"
461,56804,"array([ 1.35008999, 12.74146986])"
462,14674,"array([ 1.34871943, 12.74389604])"
463,58932,"array([ 1.35143995, 12.74197788])"
464,63609,"array([ 1.34957715, 12.74443921])"
465,37373,"array([ 1.3490979 , 12.74418681])"
466,67888,"array([ 1.34837628, 12.7443573 ])"
467,54915,"array([ 1.34933504, 12.74397305])"
468,64470,"array([ 1.34820381, 12.7444797 ])"
469,47906,"array([ 1.34883649, 12.74456196])"
470,61071,"array([ 1.34804348, 12.74369749])"
471,45701,"array([ 1.34819307, 12.74452592])"
472,19288,"array([ 1.34756011, 12.74568062])"
473,41838,"array([ 1.34816947, 12.74442836])"
474,69063,"array([ 1.3484284 , 12.74443655])"
475,42607,"array([ 1.34856676, 12.74410891])"
476,5793,"array([ 1.34857034, 12.74440325])"
477,30257,"array([ 1.34860437, 12.74389428])"
478,3384,"array([ 1.34891593, 12.74416298])"
479,28590,"array([ 1.34864276, 12.74438079])"
480,23806,"array([ 1.34876604, 12.74492548])"
481,61376,"array([ 1.34810406, 12.74463527])"
482,38484,"array([ 1.3474468 , 12.74444261])"
483,2733,"array([ 1.34861518, 12.74430461])"
484,32454,"array([ 1.3488428 , 12.74454477])"
485,52291,"array([ 1.34877451, 12.74262093])"
486,498,"array([ 1.34941697, 12.74522593])"
487,37408,"array([ 1.34879229, 12.74444882])"
488,36737,"array([ 1.34890532, 12.7443569 ])"
489,38772,"array([ 1.34867131, 12.74451194])"
490,58965,"array([ 1.34824719, 12.74426142])"
491,55592,"array([ 1.34870064, 12.74411106])"
492,36806,"array([ 1.34904248, 12.74471296])"
493,27960,"array([ 1.34865622, 12.74474432])"
494,16123,"array([ 1.34872093, 12.74429074])"
495,1827,"array([ 1.34820619, 12.74417615])"
496,21524,"array([ 1.34770182, 12.74364692])"
497,4108,"array([ 1.34948127, 12.74434341])"
498,8664,"array([ 1.34887459, 12.74428774])"
499,17,"array([ 1.34531951, 12.74627407])"
500,43476,"array([ 1.3466093 , 12.74653249])"
501,67209,"array([ 1.34780474, 12.74490231])"
502,18,"array([ 1.3468258 , 12.74843714])"
503,58308,"array([ 1.3476864 , 12.74632249])"
504,66943,"array([ 1.34769556, 12.74724103])"
505,65243,"array([ 1.34714058, 12.7466085 ])"
506,61806,"array([ 1.34745466, 12.74612263])"
507,19,"array([ 1.34619012, 12.74737452])"
508,66030,"array([ 1.34612825, 12.74721482])"
509,29058,"array([ 1.34735778, 12.74523623])"
510,69029,"array([ 1.34772684, 12.74525138])"
511,19396,"array([ 1.34730765, 12.74533663])"
512,20,"array([ 1.34813363, 12.74579884])"
513,2872,"array([ 1.34786704, 12.74626744])"
514,67813,"array([ 1.348615  , 12.74453126])"
515,14551,"array([ 1.3487963, 12.7443515])"
516,65937,"array([ 1.34770487, 12.74614835])"
517,15127,"array([ 1.34760828, 12.74545056])"
518,25946,"array([ 1.34855029, 12.74861672])"
519,19447,"array([ 1.34741552, 12.74620844])"
520,16680,"array([ 1.34746872, 12.74639234])"
521,68887,"array([ 1.34750391, 12.74617924])"
522,34455,"array([ 1.34745723, 12.74607666])"
523,55687,"array([ 1.3480214 , 12.74518151])"
524,48632,"array([ 1.34742289, 12.74660631])"
525,52286,"array([ 1.34864976, 12.74449137])"
526,57583,"array([ 1.34785684, 12.74539243])"
527,40337,"array([ 1.34791724, 12.74507039])"
528,31974,"array([ 1.34676701, 12.74716233])"
529,23958,"array([ 1.34843329, 12.74489201])"
530,64623,"array([ 1.34768074, 12.74692956])"
531,38510,"array([ 1.34741704, 12.74565473])"
532,26230,"array([ 1.34772704, 12.74591541])"
533,10105,"array([ 1.34707944, 12.74712974])"
534,44565,"array([ 1.34782691, 12.74486469])"
535,41559,"array([ 1.34788857, 12.74507824])"
536,65717,"array([ 1.34632408, 12.7449188 ])"
537,16988,"array([ 1.34757592, 12.74675573])"
538,31453,"array([ 1.34724965, 12.74606119])"
539,47864,"array([ 1.34917758, 12.74393656])"
540,51940,"array([ 1.34829783, 12.74492164])"
541,21944,"array([ 1.34751304, 12.74626967])"
542,18677,"array([ 1.347703  , 12.74583505])"
543,7910,"array([ 1.34785014, 12.74620471])"
544,59490,"array([ 1.34786988, 12.7453284 ])"
545,67360,"array([ 1.34852661, 12.74606345])"
546,4856,"array([ 1.34683819, 12.74607529])"
547,59824,"array([ 1.34935897, 12.74591236])"
548,54917,"array([ 1.34766713, 12.74638704])"
549,8197,"array([ 1.34856188, 12.74436315])"
550,54919,"array([ 1.34699079, 12.74648879])"
551,57369,"array([ 1.34770343, 12.74607587])"
552,53566,"array([ 1.34780913, 12.74501738])"
553,36446,"array([ 1.34770502, 12.74638133])"
554,37780,"array([ 1.34770874, 12.74561432])"
