# index, _pos
65,"array([13.12216104,  7.46071773])"
66,"array([13.12168658,  7.46298098])"
67,"array([13.1226051 ,  7.45972449])"
68,"array([13.12306319,  7.46072013])"
69,"array([13.12341055,  7.46176142])"
70,"array([13.12447011,  7.46074963])"
71,"array([13.12451641,  7.45984904])"
72,"array([13.12552765,  7.46255298])"
73,"array([13.12086703,  7.46338657])"
74,"array([13.12144677,  7.46457402])"
75,"array([13.1242732 ,  7.46424137])"
76,"array([13.12401885,  7.46055401])"
77,"array([13.12362486,  7.46172424])"
78,"array([13.12297634,  7.46040543])"
79,"array([13.11987512,  7.46221655])"
80,"array([13.11937267,  7.46154059])"
81,"array([13.11892  ,  7.4614441])"
82,"array([13.12366455,  7.45861569])"
83,"array([13.12244909,  7.46066282])"
84,"array([13.12234344,  7.4607389 ])"
85,"array([13.12303486,  7.46009692])"
86,"array([13.11907154,  7.45783102])"
87,"array([13.12029152,  7.45634733])"
88,"array([13.12311761,  7.45650045])"
89,"array([13.12223653,  7.46106767])"
90,"array([13.12307948,  7.4578646 ])"
91,"array([13.12350759,  7.45966436])"
92,"array([13.12579407,  7.45957139])"
93,"array([13.12213014,  7.46269254])"
94,"array([13.12408897,  7.45942267])"
95,"array([13.12137856,  7.46004065])"
96,"array([13.12128926,  7.46106516])"
97,"array([13.12161845,  7.46051313])"
98,"array([13.12388304,  7.45944359])"
99,"array([13.1252636 ,  7.46124056])"
100,"array([13.12369397,  7.46687854])"
101,"array([13.1243026,  7.4594413])"
102,"array([13.12493509,  7.46078779])"
103,"array([13.12628257,  7.46032672])"
104,"array([13.12255086,  7.46256883])"
105,"array([13.12397993,  7.45655022])"
106,"array([13.12220973,  7.45872215])"
107,"array([13.12336135,  7.46033269])"
108,"array([13.12418347,  7.45898638])"
109,"array([13.12195344,  7.46084766])"
110,"array([13.11943957,  7.45674652])"
111,"array([13.12498513,  7.45907904])"
112,"array([13.11703137,  7.45861   ])"
113,"array([13.12232683,  7.45975236])"
114,"array([13.12292943,  7.46056429])"
115,"array([13.12221635,  7.45838569])"
116,"array([13.12272941,  7.45881747])"
117,"array([13.12066051,  7.46247009])"
118,"array([13.12228654,  7.45750237])"
119,"array([13.12650896,  7.46413122])"
120,"array([13.12197737,  7.46172436])"
121,"array([13.12241641,  7.4614858 ])"
122,"array([13.12072587,  7.46000486])"
123,"array([13.12062126,  7.45817875])"
124,"array([13.12637135,  7.45958097])"
125,"array([13.12530332,  7.45994889])"
126,"array([13.12363057,  7.46037285])"
127,"array([13.12123001,  7.46437768])"
128,"array([13.12290861,  7.46084463])"
129,"array([13.12387032,  7.4628455 ])"
130,"array([13.12401156,  7.45888481])"
131,"array([13.1228599 ,  7.45748564])"
132,"array([13.12417567,  7.45930619])"
133,"array([13.12209307,  7.46169859])"
134,"array([13.12340913,  7.45908449])"
135,"array([13.12197548,  7.45950603])"
136,"array([13.1234196 ,  7.46420887])"
137,"array([13.12542316,  7.45818297])"
138,"array([13.12465355,  7.46122711])"
139,"array([13.12450591,  7.45972883])"
140,"array([13.12149645,  7.46040994])"
141,"array([13.1223397,  7.4615324])"
142,"array([13.12402247,  7.45927704])"
143,"array([13.12435272,  7.4580115 ])"
144,"array([13.12142416,  7.46114078])"
145,"array([13.12527455,  7.45946029])"
146,"array([13.12561394,  7.46218552])"
147,"array([13.12246466,  7.45667259])"
148,"array([13.12307054,  7.46343924])"
149,"array([13.12217043,  7.46285319])"
150,"array([13.12684575,  7.45683524])"
151,"array([13.12194454,  7.46228358])"
152,"array([13.12180169,  7.46105127])"
153,"array([13.12628918,  7.46137291])"
154,"array([13.12050639,  7.45766565])"
155,"array([13.12374874,  7.46040949])"
156,"array([13.12444712,  7.46243997])"
157,"array([13.12227297,  7.46030821])"
158,"array([13.12367589,  7.45946685])"
159,"array([13.12288743,  7.46319663])"
160,"array([13.12280608,  7.46290314])"
161,"array([13.12075098,  7.46152758])"
162,"array([13.12175985,  7.4591205 ])"
163,"array([13.12187084,  7.45850099])"
164,"array([13.12255283,  7.46116978])"
165,"array([13.12267696,  7.46124314])"
166,"array([13.12240375,  7.45943817])"
167,"array([13.12384669,  7.46503505])"
168,"array([13.12452091,  7.45898232])"
169,"array([13.12363304,  7.45969355])"
170,"array([13.12517072,  7.46074016])"
171,"array([13.12644498,  7.45956682])"
172,"array([13.12446207,  7.46058625])"
173,"array([13.12528194,  7.45962562])"
174,"array([13.12126903,  7.46142967])"
175,"array([13.12309694,  7.45985533])"
176,"array([13.12413259,  7.46184757])"
177,"array([13.12369159,  7.46130958])"
178,"array([13.12066235,  7.46225676])"
179,"array([13.12600195,  7.45840622])"
180,"array([13.12711655,  7.46022394])"
181,"array([13.12456383,  7.46025951])"
182,"array([13.12555895,  7.46052167])"
183,"array([13.12333141,  7.45883296])"
184,"array([13.12251403,  7.45875613])"
185,"array([13.12468929,  7.45983127])"
186,"array([13.1239551 ,  7.45952189])"
187,"array([13.12262316,  7.46137473])"
188,"array([13.12163343,  7.46038736])"
189,"array([13.12415928,  7.45786624])"
190,"array([13.12092251,  7.46038124])"
191,"array([13.11974386,  7.45835729])"
192,"array([13.12214312,  7.46028509])"
193,"array([13.12371911,  7.45854017])"
194,"array([13.12831155,  7.4599991 ])"
195,"array([13.12549793,  7.45987234])"
196,"array([13.12362411,  7.45982493])"
197,"array([13.12143689,  7.46106331])"
198,"array([13.12369294,  7.46289164])"
199,"array([13.12203493,  7.46342511])"
200,"array([13.12049206,  7.45625551])"
201,"array([13.12346823,  7.46317009])"
202,"array([13.12379392,  7.46155343])"
203,"array([13.1257035 ,  7.46293983])"
204,"array([13.12508195,  7.46340162])"
205,"array([13.12056917,  7.45896284])"
206,"array([13.1208874,  7.4605885])"
207,"array([13.12316203,  7.46034625])"
208,"array([13.12326731,  7.46486654])"
209,"array([13.12340984,  7.45926685])"
210,"array([13.12387163,  7.4600588 ])"
211,"array([13.12313088,  7.45965463])"
212,"array([13.12649767,  7.45688624])"
213,"array([13.12431618,  7.45948901])"
214,"array([13.12484379,  7.45657278])"
215,"array([13.12631424,  7.45788592])"
216,"array([13.12172476,  7.45868588])"
217,"array([13.12509171,  7.45941324])"
218,"array([13.12796408,  7.45625524])"
219,"array([13.12284761,  7.46125788])"
220,"array([13.12300849,  7.46073531])"
221,"array([13.12240014,  7.45757857])"
222,"array([13.12489225,  7.45999132])"
223,"array([13.12166323,  7.462057  ])"
224,"array([13.12082024,  7.46121812])"
225,"array([13.12460654,  7.46007746])"
226,"array([13.12413938,  7.46001057])"
227,"array([13.12205259,  7.46112598])"
228,"array([13.1232157 ,  7.45559631])"
229,"array([13.12230303,  7.46282781])"
230,"array([13.12242027,  7.46248271])"
231,"array([13.1240991 ,  7.46180569])"
232,"array([13.12298151,  7.45934856])"
233,"array([13.12549131,  7.46049891])"
234,"array([13.12530474,  7.46110388])"
235,"array([13.12085621,  7.46164315])"
236,"array([13.1228756 ,  7.46072229])"
237,"array([13.12460614,  7.45682131])"
238,"array([13.126016  ,  7.45809763])"
239,"array([13.11914089,  7.45824889])"
240,"array([13.12334097,  7.46074948])"
241,"array([13.11982887,  7.46049914])"
242,"array([13.12370322,  7.45839019])"
243,"array([13.12471136,  7.4594618 ])"
244,"array([13.12711542,  7.4596628 ])"
245,"array([13.12332565,  7.46172383])"
246,"array([13.12344463,  7.45879143])"
247,"array([13.12065158,  7.46266512])"
248,"array([13.12113093,  7.45801715])"
249,"array([13.12446525,  7.45985975])"
250,"array([13.12404367,  7.45632947])"
251,"array([13.12401503,  7.4595495 ])"
252,"array([13.12535478,  7.46255005])"
253,"array([13.12400439,  7.46113391])"
254,"array([13.12332796,  7.45917711])"
255,"array([13.12061366,  7.45787128])"
256,"array([13.12266945,  7.45908246])"
257,"array([13.12404151,  7.45624859])"
258,"array([13.12355572,  7.46218322])"
259,"array([13.12646159,  7.46049783])"
260,"array([13.12106439,  7.46113911])"
261,"array([13.12784137,  7.45898043])"
262,"array([13.11795611,  7.45971969])"
263,"array([13.12163698,  7.46163474])"
264,"array([13.1281379 ,  7.46221747])"
265,"array([13.12691041,  7.4624261 ])"
266,"array([13.1226443 ,  7.46311279])"
267,"array([13.12354576,  7.4592788 ])"
268,"array([13.12265354,  7.46143509])"
269,"array([13.12134077,  7.46145516])"
270,"array([13.13014013,  7.46184733])"
271,"array([13.12091215,  7.46302402])"
272,"array([13.12324505,  7.45845106])"
273,"array([13.12453766,  7.4592591 ])"
274,"array([13.125131  ,  7.46196551])"
275,"array([13.12032746,  7.4553495 ])"
276,"array([13.12321748,  7.45987277])"
277,"array([13.12128124,  7.45892711])"
278,"array([13.12403468,  7.45901901])"
279,"array([13.12459509,  7.45942765])"
280,"array([13.12586   ,  7.45808735])"
281,"array([13.12465689,  7.459616  ])"
282,"array([13.12513742,  7.46164254])"
283,"array([13.1261974 ,  7.46026427])"
284,"array([13.12464736,  7.45882646])"
285,"array([13.11816483,  7.46562237])"
286,"array([13.12306384,  7.45852892])"
287,"array([13.12657558,  7.46087244])"
288,"array([13.12639977,  7.46179714])"
289,"array([13.12503539,  7.45950471])"
290,"array([13.1242942 ,  7.46053329])"
291,"array([13.12281581,  7.45988017])"
292,"array([13.1240664 ,  7.45952866])"
293,"array([13.12865622,  7.45747695])"
294,"array([13.12231051,  7.46064517])"
295,"array([13.12562704,  7.45855124])"
296,"array([13.12547309,  7.45648238])"
297,"array([13.12438914,  7.45787799])"
298,"array([13.12301421,  7.4569282 ])"
299,"array([13.1229633 ,  7.45870235])"
300,"array([13.12569347,  7.45765829])"
301,"array([13.12569504,  7.45853509])"
302,"array([13.12368503,  7.459248  ])"
303,"array([13.12464451,  7.46474543])"
304,"array([13.12414072,  7.46152877])"
305,"array([13.12394028,  7.45792769])"
306,"array([13.12266746,  7.455807  ])"
307,"array([13.12492297,  7.45252721])"
308,"array([13.1231477,  7.4627531])"
309,"array([13.12070602,  7.4601762 ])"
310,"array([13.1222692 ,  7.45930384])"
311,"array([13.12574212,  7.46097474])"
312,"array([13.12237008,  7.45798059])"
313,"array([13.12673013,  7.46093885])"
314,"array([13.12531829,  7.4594867 ])"
315,"array([13.12109328,  7.46224902])"
316,"array([13.12617859,  7.46246528])"
317,"array([13.121743  ,  7.46131787])"
318,"array([13.1238793 ,  7.45924121])"
319,"array([13.12359334,  7.46191443])"
320,"array([13.12831253,  7.45938435])"
321,"array([13.12472522,  7.45964503])"
322,"array([13.12554384,  7.46017385])"
323,"array([13.12066632,  7.46339915])"
324,"array([13.12335298,  7.45904641])"
325,"array([13.12425762,  7.46075242])"
326,"array([13.1231934,  7.4648197])"
327,"array([13.12172815,  7.46084358])"
328,"array([13.12031502,  7.4578748 ])"
329,"array([13.124926  ,  7.45902474])"
330,"array([13.12390298,  7.45950021])"
331,"array([13.12304043,  7.46272493])"
332,"array([13.12491776,  7.45862934])"
333,"array([13.12233799,  7.45303167])"
334,"array([13.12197076,  7.45510698])"
335,"array([13.1220796 ,  7.45811609])"
336,"array([13.12365463,  7.45854204])"
337,"array([13.11899346,  7.45799426])"
338,"array([13.12814325,  7.45920494])"
339,"array([13.12342198,  7.46000305])"
340,"array([13.1246613 ,  7.46456557])"
341,"array([13.12239281,  7.46012828])"
342,"array([13.1221633 ,  7.46102809])"
343,"array([13.12068571,  7.46235088])"
344,"array([13.12531848,  7.45941798])"
345,"array([13.12641743,  7.46122772])"
346,"array([13.12545438,  7.46173905])"
347,"array([13.12352009,  7.45851732])"
348,"array([13.12430247,  7.46014658])"
349,"array([13.1228208 ,  7.45818288])"
350,"array([13.12146489,  7.45764768])"
351,"array([13.12264801,  7.45950297])"
352,"array([13.11938822,  7.45693762])"
353,"array([13.12533505,  7.4580928 ])"
354,"array([13.1222935 ,  7.46146965])"
355,"array([13.12407967,  7.45889661])"
356,"array([13.1227886 ,  7.45300141])"
357,"array([13.1212908 ,  7.46179046])"
358,"array([13.12397737,  7.45382781])"
359,"array([13.12154031,  7.45837451])"
360,"array([13.12292815,  7.45558378])"
361,"array([13.12257233,  7.46101131])"
362,"array([13.11962597,  7.45751254])"
363,"array([13.12540709,  7.46018642])"
364,"array([13.12209226,  7.45929022])"
365,"array([13.12106666,  7.46090581])"
366,"array([13.12124566,  7.46098205])"
367,"array([13.12123433,  7.45909008])"
368,"array([13.12281239,  7.46153971])"
369,"array([13.12171298,  7.45784528])"
370,"array([13.12144835,  7.45936552])"
371,"array([13.12647581,  7.45853074])"
372,"array([13.12888352,  7.45916056])"
373,"array([13.12375636,  7.45712914])"
374,"array([13.12502341,  7.45804726])"
375,"array([13.12564168,  7.46042341])"
376,"array([13.12284038,  7.46081287])"
377,"array([13.12492466,  7.45726506])"
378,"array([13.12480262,  7.45452264])"
379,"array([13.12833229,  7.4656269 ])"
380,"array([13.12149797,  7.46293103])"
381,"array([13.12186843,  7.45913679])"
382,"array([13.12591963,  7.4635562 ])"
383,"array([13.1246846,  7.4661857])"
384,"array([13.12235627,  7.46131637])"
385,"array([13.11608041,  7.46320333])"
386,"array([13.12571743,  7.46686885])"
387,"array([13.12216899,  7.46367448])"
388,"array([13.12227239,  7.45757482])"
389,"array([13.12219212,  7.46294373])"
390,"array([13.12265755,  7.46343352])"
391,"array([13.12195087,  7.46530593])"
392,"array([13.12202786,  7.46106962])"
393,"array([13.12370113,  7.45763187])"
394,"array([13.12268741,  7.46024674])"
395,"array([13.12555202,  7.46279111])"
396,"array([13.12272862,  7.46287709])"
397,"array([13.12106115,  7.46678498])"
398,"array([13.11934905,  7.46345941])"
399,"array([13.12452257,  7.46015802])"
400,"array([13.12469496,  7.46327789])"
401,"array([13.12199895,  7.46333495])"
402,"array([13.12436178,  7.45888135])"
403,"array([13.12172494,  7.46076231])"
404,"array([13.12291666,  7.4625858 ])"
405,"array([13.12164867,  7.45864334])"
406,"array([13.12328039,  7.46196812])"
407,"array([13.12284968,  7.4619194 ])"
408,"array([13.12139762,  7.46028527])"
409,"array([13.12337217,  7.45922073])"
410,"array([13.12281846,  7.46111441])"
411,"array([13.12496977,  7.45872855])"
412,"array([13.1223425 ,  7.46089552])"
413,"array([13.12252925,  7.46433084])"
414,"array([13.12233452,  7.46030443])"
415,"array([13.12207809,  7.46107365])"
416,"array([13.12100946,  7.45812768])"
417,"array([13.119303  ,  7.45683814])"
418,"array([13.12298924,  7.45529418])"
419,"array([13.1231228 ,  7.46695991])"
420,"array([13.12398122,  7.45906186])"
421,"array([13.12545263,  7.4632081 ])"
422,"array([13.11630413,  7.46074591])"
423,"array([13.12388044,  7.4614251 ])"
424,"array([13.12511603,  7.46551584])"
425,"array([13.12397653,  7.46204619])"
426,"array([13.12436817,  7.46015345])"
427,"array([13.12276465,  7.46182728])"
428,"array([13.12511631,  7.46150301])"
429,"array([13.1225677 ,  7.45959187])"
430,"array([13.12241784,  7.46032478])"
431,"array([13.12327932,  7.45946511])"
432,"array([13.12366035,  7.45985479])"
433,"array([13.12300573,  7.46147637])"
434,"array([13.12115706,  7.46155333])"
435,"array([13.12223005,  7.4616646 ])"
436,"array([13.12255813,  7.46212741])"
437,"array([13.12302479,  7.45732017])"
438,"array([13.12359417,  7.45859561])"
439,"array([13.12095109,  7.45387561])"
440,"array([13.12385534,  7.45784633])"
441,"array([13.13133231,  7.45876555])"
442,"array([13.12366531,  7.46258876])"
443,"array([13.12694905,  7.46558868])"
444,"array([13.12327728,  7.45880291])"
445,"array([13.12576516,  7.46169965])"
446,"array([13.1216533 ,  7.45891816])"
447,"array([13.12004542,  7.45900211])"
448,"array([13.12409934,  7.46305566])"
449,"array([13.12451544,  7.45826156])"
450,"array([13.1207553 ,  7.45612653])"
451,"array([13.12760397,  7.45733037])"
452,"array([13.12701081,  7.46548867])"
453,"array([13.12684855,  7.46562596])"
454,"array([13.12135872,  7.45996531])"
455,"array([13.12580082,  7.4637319 ])"
456,"array([13.12865311,  7.46107688])"
457,"array([13.12885316,  7.4612717 ])"
458,"array([13.11865246,  7.45975188])"
459,"array([13.1177108 ,  7.45885357])"
460,"array([13.12261314,  7.46486527])"
461,"array([13.12109298,  7.46343954])"
462,"array([13.12216627,  7.46449372])"
463,"array([13.12094372,  7.45727306])"
464,"array([13.12432489,  7.45902276])"
465,"array([13.12257398,  7.46553409])"
466,"array([13.1242705 ,  7.46683646])"
467,"array([13.11842684,  7.46429243])"
468,"array([13.11822366,  7.46420675])"
469,"array([13.12006925,  7.45848974])"
470,"array([13.11968318,  7.45776307])"
471,"array([13.126019  ,  7.46285258])"
472,"array([13.12603   ,  7.46299014])"
473,"array([13.11831584,  7.45940204])"
474,"array([13.11828265,  7.4590091 ])"
475,"array([13.11735222,  7.46138176])"
476,"array([13.11940922,  7.46259451])"
477,"array([13.1170921 ,  7.46201766])"
478,"array([13.11982098,  7.45676454])"
479,"array([13.11922893,  7.45735295])"
480,"array([13.12148231,  7.45632808])"
481,"array([13.11832466,  7.4596767 ])"
482,"array([13.12012826,  7.46150059])"
483,"array([13.11822438,  7.4569688 ])"
484,"array([13.12027938,  7.46197797])"
485,"array([13.1224983 ,  7.46250323])"
486,"array([13.124101  ,  7.45929251])"
487,"array([13.12882891,  7.45955488])"
488,"array([13.1200173 ,  7.46589419])"
489,"array([13.12030858,  7.46605025])"
490,"array([13.123347  ,  7.46026772])"
491,"array([13.12099323,  7.46211791])"
492,"array([13.12228929,  7.46314147])"
493,"array([13.12930445,  7.45982906])"
494,"array([13.12311553,  7.45978708])"
495,"array([13.1293401 ,  7.46012697])"
496,"array([13.12631709,  7.45748591])"
497,"array([13.12603763,  7.4600203 ])"
498,"array([13.12318015,  7.45999031])"
499,"array([13.12413225,  7.45955537])"
500,"array([13.12250168,  7.46053677])"
501,"array([13.12397057,  7.46162067])"
502,"array([13.12937647,  7.46592751])"
503,"array([13.12967566,  7.46559854])"
504,"array([13.1245565 ,  7.46120219])"
505,"array([13.12941865,  7.4657814 ])"
506,"array([13.12958112,  7.46576582])"
507,"array([13.12070927,  7.46194173])"
508,"array([13.12203468,  7.46181718])"
509,"array([13.12315696,  7.46153302])"
510,"array([13.12419841,  7.46101314])"
511,"array([13.12290264,  7.46429095])"
512,"array([13.1228008 ,  7.46075454])"
513,"array([13.12720572,  7.46092493])"
514,"array([13.12878898,  7.45859333])"
515,"array([13.12654182,  7.46050735])"
516,"array([13.12179327,  7.46123453])"
517,"array([13.12053368,  7.46086486])"
518,"array([13.12280795,  7.4614222 ])"
519,"array([13.12150019,  7.46657091])"
520,"array([13.12104673,  7.46636161])"
521,"array([13.1255476 ,  7.46632163])"
522,"array([13.12543384,  7.46632245])"
523,"array([13.12309247,  7.46247448])"
524,"array([13.12314817,  7.4642169 ])"
525,"array([13.1231323 ,  7.46187942])"
526,"array([13.12061411,  7.46296867])"
527,"array([13.11909381,  7.45841861])"
528,"array([13.12367081,  7.45631744])"
529,"array([13.12214094,  7.45553994])"
530,"array([13.12133964,  7.46224255])"
531,"array([13.12244132,  7.46023053])"
532,"array([13.12334604,  7.45911471])"
533,"array([13.12132519,  7.45708268])"
534,"array([13.12512687,  7.46045269])"
535,"array([13.12383705,  7.46425935])"
536,"array([13.12409384,  7.46283422])"
537,"array([13.12275032,  7.46398252])"
538,"array([13.12305299,  7.45656792])"
539,"array([13.12334018,  7.45973574])"
540,"array([13.12092626,  7.45929748])"
541,"array([13.12290405,  7.45850474])"
542,"array([13.12578687,  7.46362818])"
543,"array([13.1218508 ,  7.46052316])"
544,"array([13.12587372,  7.46666898])"
545,"array([13.11672724,  7.46255628])"
546,"array([13.11923893,  7.46018717])"
547,"array([13.11682035,  7.46449982])"
548,"array([13.12505498,  7.4691561 ])"
549,"array([13.12206535,  7.46187064])"
550,"array([13.12219233,  7.45997657])"
551,"array([13.12206891,  7.46064155])"
552,"array([13.12339996,  7.45953121])"
553,"array([13.12314499,  7.46226803])"
554,"array([13.12229618,  7.46247234])"
555,"array([13.12213085,  7.46036382])"
556,"array([13.12174487,  7.46279366])"
557,"array([13.12289801,  7.45983313])"
558,"array([13.12263657,  7.45923631])"
559,"array([13.1218376 ,  7.46164607])"
560,"array([13.12232556,  7.46120806])"
561,"array([13.12526378,  7.46140555])"
562,"array([13.12323663,  7.46057261])"
563,"array([13.12431792,  7.46108161])"
564,"array([13.12415695,  7.46448415])"
565,"array([13.12072906,  7.46057917])"
566,"array([13.12321616,  7.45916842])"
567,"array([13.12288216,  7.46043719])"
568,"array([13.12384207,  7.46173547])"
569,"array([13.12384249,  7.45839067])"
570,"array([13.12348112,  7.45917503])"
571,"array([13.12505142,  7.46031232])"
572,"array([13.12280941,  7.46047165])"
573,"array([13.1209404,  7.4589613])"
574,"array([13.12290566,  7.46025327])"
575,"array([13.1256694 ,  7.46214658])"
576,"array([13.12514013,  7.46273395])"
577,"array([13.12460804,  7.46021272])"
578,"array([13.12551602,  7.45918746])"
579,"array([13.12515524,  7.45944941])"
580,"array([13.12443585,  7.46014636])"
581,"array([13.12353429,  7.45870685])"
582,"array([13.12119637,  7.45916059])"
583,"array([13.12367401,  7.45897082])"
584,"array([13.12237574,  7.46199235])"
585,"array([13.12305624,  7.46024936])"
586,"array([13.12368814,  7.45991991])"
587,"array([13.12304283,  7.4601897 ])"
588,"array([13.12283408,  7.45947344])"
589,"array([13.12084956,  7.4602119 ])"
590,"array([13.1220279 ,  7.46131715])"
591,"array([13.12237857,  7.45981531])"
592,"array([13.12205407,  7.4588466 ])"
593,"array([13.12318432,  7.45838701])"
594,"array([13.12000961,  7.45479855])"
595,"array([13.11981168,  7.45480297])"
596,"array([13.12101333,  7.457072  ])"
597,"array([13.12495523,  7.45821478])"
598,"array([13.11914013,  7.4556891 ])"
599,"array([13.12040339,  7.46014232])"
600,"array([13.12312395,  7.45492141])"
601,"array([13.12656539,  7.45517333])"
602,"array([13.12563766,  7.45741943])"
603,"array([13.11745978,  7.46032055])"
604,"array([13.11740967,  7.46017788])"
605,"array([13.1214603 ,  7.45872757])"
606,"array([13.12327367,  7.45515635])"
607,"array([13.12674482,  7.46369072])"
608,"array([13.12344748,  7.46222997])"
609,"array([13.12500042,  7.46043992])"
610,"array([13.12476984,  7.46213744])"
611,"array([13.1218013 ,  7.46067766])"
612,"array([13.12245498,  7.45962262])"
613,"array([13.12109026,  7.4606581 ])"
614,"array([13.12164255,  7.46449204])"
615,"array([13.12185781,  7.46343345])"
616,"array([13.12295257,  7.46246391])"
617,"array([13.12211726,  7.46402046])"
618,"array([13.12144447,  7.46431812])"
619,"array([13.12489307,  7.45616804])"
620,"array([13.12069002,  7.45725155])"
621,"array([13.11798689,  7.46335729])"
622,"array([13.11794265,  7.46345162])"
623,"array([13.12259296,  7.46165949])"
624,"array([13.11801871,  7.46357141])"
625,"array([13.12381263,  7.46443339])"
626,"array([13.12231863,  7.46238679])"
627,"array([13.121441  ,  7.46133797])"
628,"array([13.1215834 ,  7.46505948])"
629,"array([13.11749718,  7.4636611 ])"
630,"array([13.12112995,  7.46078818])"
631,"array([13.11907098,  7.46009083])"
632,"array([13.12182507,  7.46060346])"
633,"array([13.1234894 ,  7.46510227])"
634,"array([13.12430218,  7.45705837])"
635,"array([13.12426877,  7.45826626])"
636,"array([13.12027753,  7.46155553])"
637,"array([13.12633591,  7.45850232])"
638,"array([13.12352024,  7.45760889])"
639,"array([13.12383119,  7.458704  ])"
640,"array([13.12366379,  7.46004021])"
641,"array([13.12712494,  7.45524185])"
642,"array([13.12507989,  7.45608928])"
643,"array([13.12576687,  7.45738202])"
644,"array([13.12737927,  7.45979211])"
645,"array([13.12185952,  7.46111845])"
646,"array([13.11950808,  7.46039705])"
647,"array([13.12722443,  7.46430676])"
648,"array([13.12015765,  7.46238034])"
649,"array([13.12179023,  7.45786041])"
650,"array([13.12756117,  7.46144491])"
651,"array([13.12758441,  7.46153164])"
652,"array([13.12363387,  7.46114803])"
653,"array([13.12348784,  7.45996093])"
654,"array([13.12276517,  7.45983685])"
655,"array([13.12357549,  7.45917514])"
656,"array([13.12090859,  7.45704374])"
657,"array([13.11780806,  7.46411156])"
658,"array([13.12092634,  7.46225661])"
659,"array([13.12218058,  7.45986152])"
660,"array([13.12802431,  7.45749688])"
661,"array([13.12484656,  7.46038563])"
662,"array([13.12368301,  7.4620243 ])"
663,"array([13.12386898,  7.45901372])"
664,"array([13.12676155,  7.46695274])"
665,"array([13.12194412,  7.46023768])"
666,"array([13.12561781,  7.4662403 ])"
667,"array([13.13040763,  7.46114945])"
668,"array([13.11636934,  7.46499152])"
669,"array([13.12064634,  7.45949121])"
670,"array([13.12184485,  7.46176564])"
671,"array([13.12351161,  7.45857699])"
672,"array([13.12239079,  7.45873954])"
673,"array([13.12107705,  7.45909709])"
674,"array([13.11916706,  7.45671509])"
675,"array([13.11970918,  7.45803368])"
676,"array([13.1170349 ,  7.46281272])"
677,"array([13.12288192,  7.46058312])"
678,"array([13.12182472,  7.46200902])"
679,"array([13.12786629,  7.45936942])"
680,"array([13.13062432,  7.46153984])"
681,"array([13.12941349,  7.45989987])"
682,"array([13.11896692,  7.46280186])"
683,"array([13.12121268,  7.46657716])"
684,"array([13.12455581,  7.455206  ])"
685,"array([13.12611144,  7.45948217])"
686,"array([13.12100033,  7.46193715])"
