# index, as_id, _pos
130,26524,"array([-2.91230316,  0.80235929])"
131,131,"array([-2.91121541,  0.78911603])"
132,132,"array([-2.90156926,  0.78577721])"
133,37893,"array([-2.91997063,  0.78978223])"
134,26526,"array([-2.91189475,  0.80236487])"
135,37894,"array([-2.91871539,  0.78807511])"
136,26528,"array([-2.90820599,  0.79030155])"
137,137,"array([-2.92454405,  0.79976404])"
138,37895,"array([-2.92208686,  0.7870047 ])"
139,37896,"array([-2.9215252 ,  0.78285378])"
140,140,"array([-2.91706557,  0.79604133])"
141,26531,"array([-2.92040168,  0.79641432])"
142,26532,"array([-2.90732938,  0.79717807])"
143,26533,"array([-2.9145086 ,  0.81219812])"
144,144,"array([-2.91309288,  0.79021631])"
145,145,"array([-2.90959244,  0.78619614])"
146,26534,"array([-2.90678924,  0.79663919])"
147,26535,"array([-2.91014264,  0.80133952])"
148,37897,"array([-2.92148855,  0.78683068])"
149,37898,"array([-2.91994927,  0.78680005])"
150,41864,"array([-2.92376706,  0.8145238 ])"
151,151,"array([-2.91573631,  0.78957005])"
152,26539,"array([-2.90987553,  0.79311322])"
153,26540,"array([-2.91666902,  0.80436439])"
154,26541,"array([-2.91896479,  0.80685888])"
155,26542,"array([-2.91470601,  0.79957678])"
156,156,"array([-2.91521753,  0.79941258])"
157,157,"array([-2.91409978,  0.79149902])"
158,158,"array([-2.92472285,  0.79195018])"
159,159,"array([-2.90260029,  0.79007508])"
160,160,"array([-2.91023219,  0.79523885])"
161,161,"array([-2.90958865,  0.80007755])"
162,26543,"array([-2.90771381,  0.79955644])"
163,26544,"array([-2.90584855,  0.80514391])"
164,26545,"array([-2.90677435,  0.79535758])"
165,26546,"array([-2.92064981,  0.79078387])"
166,41865,"array([-2.93524842,  0.81343834])"
167,26548,"array([-2.90919399,  0.78723619])"
168,41866,"array([-2.92707649,  0.79133387])"
169,26550,"array([-2.91146476,  0.80325987])"
170,26551,"array([-2.91968365,  0.80577877])"
171,26552,"array([-2.91517803,  0.80249249])"
172,26553,"array([-2.90402596,  0.80281331])"
173,173,"array([-2.9157393 ,  0.78731774])"
174,174,"array([-2.91964892,  0.80043645])"
175,26554,"array([-2.91101617,  0.80340307])"
176,26555,"array([-2.91341785,  0.79998353])"
177,26556,"array([-2.9224448 ,  0.80177475])"
178,26557,"array([-2.90140759,  0.79515147])"
179,37902,"array([-2.92238319,  0.78493887])"
180,37903,"array([-2.91995737,  0.78311393])"
181,37904,"array([-2.91869509,  0.78442385])"
182,37905,"array([-2.91929484,  0.78665869])"
183,26562,"array([-2.90892808,  0.79526928])"
184,26563,"array([-2.9094338 ,  0.80221842])"
185,26564,"array([-2.91664923,  0.8074572 ])"
186,186,"array([-2.91402277,  0.79809076])"
187,37906,"array([-2.92000478,  0.78409752])"
188,188,"array([-2.91170984,  0.79209746])"
189,37907,"array([-2.92180006,  0.78331332])"
190,37908,"array([-2.92188999,  0.78352515])"
191,26568,"array([-2.90863291,  0.79275484])"
192,26569,"array([-2.91461095,  0.8013947 ])"
193,37909,"array([-2.92274238,  0.78139977])"
194,194,"array([-2.90816337,  0.80528479])"
195,195,"array([-2.91142563,  0.78700785])"
196,196,"array([-2.90476365,  0.79793232])"
197,26571,"array([-2.91316514,  0.79885198])"
198,26572,"array([-2.90849061,  0.79316077])"
199,26573,"array([-2.90687678,  0.80005763])"
200,26574,"array([-2.91136325,  0.80878379])"
201,26575,"array([-2.90844044,  0.78998297])"
202,37910,"array([-2.92099634,  0.7867403 ])"
203,41867,"array([-2.94388693,  0.79594897])"
204,26578,"array([-2.91017732,  0.79386342])"
205,205,"array([-2.91000915,  0.80774157])"
206,206,"array([-2.91292928,  0.79401395])"
207,26579,"array([-2.91509731,  0.79809569])"
208,208,"array([-2.89308103,  0.78135718])"
209,209,"array([-2.90977306,  0.79954414])"
210,210,"array([-2.91256018,  0.80117074])"
211,37912,"array([-2.91961933,  0.78872558])"
212,26581,"array([-2.90981655,  0.78940501])"
213,213,"array([-2.90178308,  0.78674176])"
214,26582,"array([-2.91716253,  0.80184101])"
215,26583,"array([-2.91065165,  0.79191457])"
216,26584,"array([-2.91242426,  0.78951858])"
217,217,"array([-2.90073381,  0.79198935])"
218,26585,"array([-2.91701943,  0.80203058])"
219,219,"array([-2.8922514 ,  0.78350547])"
220,26586,"array([-2.91535868,  0.79636274])"
221,26587,"array([-2.90471883,  0.79124203])"
222,41868,"array([-2.92004857,  0.80645932])"
223,26589,"array([-2.91275574,  0.789435  ])"
224,224,"array([-2.92891628,  0.79112362])"
225,225,"array([-2.90945479,  0.80693965])"
226,226,"array([-2.91703366,  0.79117235])"
227,227,"array([-2.9015138 ,  0.78215823])"
228,26590,"array([-2.90306247,  0.79423801])"
229,26591,"array([-2.90615608,  0.79525952])"
230,26592,"array([-2.91651129,  0.78815112])"
231,26593,"array([-2.90693882,  0.78015336])"
232,26594,"array([-2.91060136,  0.77976573])"
233,41869,"array([-2.93088253,  0.79023997])"
234,234,"array([-2.91777686,  0.78830905])"
235,26596,"array([-2.91285695,  0.78545005])"
236,37915,"array([-2.92167338,  0.78077142])"
237,237,"array([-2.91615225,  0.79624472])"
238,26598,"array([-2.90830819,  0.77576724])"
239,239,"array([-2.92038741,  0.80449591])"
240,26599,"array([-2.91334193,  0.77996897])"
241,37916,"array([-2.9229718 ,  0.78847046])"
242,37917,"array([-2.92243543,  0.78205791])"
243,243,"array([-2.91646478,  0.79570848])"
244,37918,"array([-2.91816531,  0.78806235])"
245,26603,"array([-2.90758421,  0.78414167])"
246,26604,"array([-2.91491514,  0.78059327])"
247,26605,"array([-2.90816745,  0.78539243])"
248,26606,"array([-2.91563237,  0.78191641])"
249,26607,"array([-2.91060897,  0.78321008])"
250,250,"array([-2.92844951,  0.79930269])"
251,251,"array([-2.92701856,  0.8017426 ])"
252,252,"array([-2.90145067,  0.78615601])"
253,26608,"array([-2.91433626,  0.78680688])"
254,26609,"array([-2.91420657,  0.78169848])"
255,26610,"array([-2.9196665 ,  0.79862219])"
256,26611,"array([-2.9083456 ,  0.78495055])"
257,257,"array([-2.91235196,  0.78453869])"
258,258,"array([-2.89329913,  0.78315151])"
259,37919,"array([-2.92188415,  0.78750752])"
260,26613,"array([-2.91593524,  0.79006616])"
261,26614,"array([-2.9053898 ,  0.78611749])"
262,26615,"array([-2.91161426,  0.78140655])"
263,26616,"array([-2.91303764,  0.78532013])"
264,264,"array([-2.91199091,  0.79112685])"
265,26617,"array([-2.91135776,  0.79085071])"
266,37920,"array([-2.92246052,  0.78260217])"
267,267,"array([-2.92121732,  0.78889471])"
268,268,"array([-2.89411269,  0.78066027])"
269,26619,"array([-2.90732892,  0.78398971])"
270,270,"array([-2.9137632 ,  0.78641777])"
271,271,"array([-2.92182775,  0.79059893])"
272,272,"array([-2.89711084,  0.785345  ])"
273,26620,"array([-2.90460308,  0.78464269])"
274,26621,"array([-2.90839395,  0.78644077])"
275,26622,"array([-2.91452706,  0.78336646])"
276,276,"array([-2.90566915,  0.78751305])"
277,277,"array([-2.91370683,  0.79535733])"
278,278,"array([-2.91042114,  0.78717469])"
279,37921,"array([-2.9211441 ,  0.78107992])"
280,37922,"array([-2.92243626,  0.78065216])"
281,26625,"array([-2.92801482,  0.7857804 ])"
282,41870,"array([-2.92439612,  0.81180064])"
283,26627,"array([-2.92107406,  0.79854036])"
284,43359,"array([-2.92213028,  0.80798211])"
285,26629,"array([-2.92053611,  0.80586942])"
286,286,"array([-2.92350717,  0.79647637])"
287,41872,"array([-2.92816668,  0.80268536])"
288,288,"array([-2.92761737,  0.7965093 ])"
289,26631,"array([-2.91085572,  0.79790143])"
290,290,"array([-2.90509951,  0.8018071 ])"
291,291,"array([-2.91598485,  0.78839033])"
292,292,"array([-2.91166832,  0.78747627])"
293,293,"array([-2.91664263,  0.79318832])"
294,41873,"array([-2.94399634,  0.80474842])"
295,295,"array([-2.89191756,  0.78320982])"
296,41874,"array([-2.92590523,  0.80902687])"
297,297,"array([-2.91633424,  0.79251212])"
298,26634,"array([-2.91646608,  0.80392579])"
299,299,"array([-2.91326586,  0.78645618])"
300,300,"array([-2.89224525,  0.78434536])"
301,26635,"array([-2.91131651,  0.81245622])"
302,302,"array([-2.91256409,  0.79542828])"
303,41875,"array([-2.94926787,  0.79669578])"
304,41876,"array([-2.94371341,  0.8007762 ])"
305,26638,"array([-2.90958257,  0.80551883])"
306,306,"array([-2.89279428,  0.7860394 ])"
307,26639,"array([-2.90750499,  0.80049306])"
308,41877,"array([-2.93541326,  0.78113809])"
309,26641,"array([-2.91144149,  0.79070972])"
310,37931,"array([-2.90903194,  0.77876071])"
311,26643,"array([-2.9044769 ,  0.79592482])"
312,26644,"array([-2.91585095,  0.79475554])"
313,26645,"array([-2.90984372,  0.80110494])"
314,26646,"array([-2.91040061,  0.80287304])"
315,26647,"array([-2.92152065,  0.80547927])"
316,26648,"array([-2.90447058,  0.79045328])"
317,26649,"array([-2.9054518 ,  0.80507446])"
318,26650,"array([-2.92417707,  0.7887206 ])"
319,26651,"array([-2.90644976,  0.79804796])"
320,37932,"array([-2.92058611,  0.7768632 ])"
321,37933,"array([-2.90713178,  0.77832841])"
322,26654,"array([-2.91472113,  0.80751284])"
323,26655,"array([-2.90452764,  0.79506777])"
324,26656,"array([-2.9122165,  0.7960658])"
325,26657,"array([-2.91219774,  0.79390869])"
326,26658,"array([-2.91111178,  0.80440342])"
327,26659,"array([-2.90986769,  0.79339222])"
328,26660,"array([-2.91636669,  0.79181551])"
329,37934,"array([-2.91717221,  0.78495779])"
330,26662,"array([-2.90613004,  0.79614038])"
331,26663,"array([-2.91465709,  0.80501483])"
332,26664,"array([-2.916873  ,  0.78857101])"
333,26665,"array([-2.91203278,  0.79611522])"
334,41878,"array([-2.92828068,  0.79224854])"
335,43360,"array([-2.92230658,  0.81288635])"
336,26668,"array([-2.91331731,  0.79037243])"
337,37937,"array([-2.92236499,  0.78697566])"
338,41880,"array([-2.92203336,  0.79458483])"
339,26671,"array([-2.90523201,  0.79790361])"
340,26672,"array([-2.92201868,  0.79054496])"
341,41881,"array([-2.93007935,  0.77814302])"
342,26674,"array([-2.90823364,  0.78797808])"
343,26675,"array([-2.89848926,  0.78614831])"
344,26676,"array([-2.90819039,  0.79945546])"
345,26677,"array([-2.92166244,  0.79944724])"
346,26678,"array([-2.90671406,  0.79873859])"
347,41882,"array([-2.92368748,  0.80343501])"
348,37941,"array([-2.92685731,  0.77679275])"
349,26681,"array([-2.90968653,  0.80967399])"
350,37942,"array([-2.92546732,  0.77916146])"
351,37943,"array([-2.92658115,  0.78204756])"
352,43361,"array([-2.93632823,  0.78926852])"
353,26685,"array([-2.90752714,  0.78815782])"
354,26686,"array([-2.9142449 ,  0.79180272])"
355,26687,"array([-2.90595616,  0.79889529])"
356,26688,"array([-2.90766918,  0.78911256])"
357,26689,"array([-2.90517389,  0.79691435])"
358,26690,"array([-2.91126456,  0.79042011])"
359,26691,"array([-2.91027095,  0.79304686])"
360,26692,"array([-2.91329361,  0.80350069])"
361,41884,"array([-2.93005009,  0.78924906])"
362,26694,"array([-2.91568042,  0.79974348])"
363,26695,"array([-2.91252779,  0.79314745])"
364,26696,"array([-2.91412997,  0.80033555])"
365,26697,"array([-2.91429902,  0.80732793])"
366,41885,"array([-2.9209029 ,  0.80915502])"
367,26699,"array([-2.90463214,  0.79580857])"
368,26700,"array([-2.91889436,  0.80483186])"
369,37947,"array([-2.92564458,  0.77681807])"
370,26702,"array([-2.90985212,  0.79226929])"
371,41886,"array([-2.92863585,  0.79544498])"
372,372,"array([-2.91475933,  0.78767855])"
373,26704,"array([-2.91178265,  0.794665  ])"
374,41887,"array([-2.92527075,  0.79681324])"
375,375,"array([-2.92883519,  0.79159528])"
376,376,"array([-2.9232372 ,  0.79266002])"
377,377,"array([-2.91699757,  0.78903941])"
378,378,"array([-2.92935311,  0.78814745])"
379,26706,"array([-2.9132655 ,  0.79589484])"
380,41888,"array([-2.9292055 ,  0.79061738])"
381,26708,"array([-2.91656411,  0.79896858])"
382,26709,"array([-2.91080072,  0.79863871])"
383,41889,"array([-2.92835987,  0.81149943])"
384,26711,"array([-2.91769144,  0.79277195])"
385,26712,"array([-2.90456111,  0.79953081])"
386,41890,"array([-2.92450602,  0.78536745])"
387,26714,"array([-2.91900544,  0.80579064])"
388,26715,"array([-2.90875594,  0.7921802 ])"
389,26716,"array([-2.91185029,  0.78938019])"
390,43362,"array([-2.93380356,  0.7846432 ])"
391,391,"array([-2.89758624,  0.78368675])"
392,26718,"array([-2.91823437,  0.80518277])"
393,41892,"array([-2.94395886,  0.78984836])"
394,26720,"array([-2.90152231,  0.79334424])"
395,41893,"array([-2.92738031,  0.79896425])"
396,26722,"array([-2.91188191,  0.79895495])"
397,26723,"array([-2.905687  ,  0.79776696])"
398,398,"array([-2.89750926,  0.78782988])"
399,41894,"array([-2.92328907,  0.80408372])"
400,400,"array([-2.9007159 ,  0.78515144])"
401,26725,"array([-2.90787843,  0.79805417])"
402,26726,"array([-2.91226868,  0.79692059])"
403,26727,"array([-2.91492604,  0.79950571])"
404,37957,"array([-2.92550936,  0.77995319])"
405,26729,"array([-2.90323939,  0.7924188 ])"
406,41895,"array([-2.93891873,  0.79703667])"
407,26731,"array([-2.91543493,  0.79538642])"
408,26732,"array([-2.90885732,  0.79630356])"
409,26733,"array([-2.91228212,  0.80404627])"
410,26734,"array([-2.91508012,  0.80116146])"
411,26735,"array([-2.8997172 ,  0.79465797])"
412,41896,"array([-2.93905184,  0.78086863])"
413,37960,"array([-2.92512444,  0.7811728 ])"
414,26738,"array([-2.90490178,  0.80398484])"
415,41897,"array([-2.92555716,  0.80940027])"
416,26740,"array([-2.90991612,  0.80956013])"
417,26741,"array([-2.91123465,  0.8099217 ])"
418,41898,"array([-2.93572411,  0.79559411])"
419,26743,"array([-2.92211087,  0.79291382])"
420,37963,"array([-2.92267993,  0.78793763])"
421,41899,"array([-2.93867968,  0.80700318])"
422,26746,"array([-2.91456957,  0.79865633])"
423,26747,"array([-2.9095612 ,  0.80638748])"
424,26748,"array([-2.90528428,  0.80009792])"
425,26749,"array([-2.91647266,  0.8021882 ])"
426,26750,"array([-2.91492432,  0.79780327])"
427,26751,"array([-2.90694341,  0.80110302])"
428,37965,"array([-2.91892871,  0.78556436])"
429,26753,"array([-2.92676125,  0.79552853])"
430,41900,"array([-2.9301339 ,  0.77872397])"
431,37967,"array([-2.92576873,  0.77995923])"
432,41901,"array([-2.92728524,  0.81223589])"
433,26757,"array([-2.91491903,  0.79275748])"
434,26758,"array([-2.91331409,  0.79161998])"
435,26759,"array([-2.91378341,  0.79695938])"
436,26760,"array([-2.91346172,  0.79678485])"
437,26761,"array([-2.90502827,  0.801365  ])"
438,26762,"array([-2.91333965,  0.79909047])"
439,26763,"array([-2.90574187,  0.80425487])"
440,26764,"array([-2.91141063,  0.79483008])"
441,26765,"array([-2.90269938,  0.79751986])"
442,37969,"array([-2.9263097 ,  0.78033206])"
443,37970,"array([-2.92513628,  0.78080142])"
444,37971,"array([-2.91087279,  0.78339175])"
445,26769,"array([-2.91847733,  0.79705991])"
446,26770,"array([-2.91535096,  0.79650352])"
447,37972,"array([-2.92327181,  0.79051732])"
448,41902,"array([-2.9321541,  0.7799685])"
449,41903,"array([-2.92751191,  0.81574027])"
450,26774,"array([-2.91073319,  0.80549433])"
451,26775,"array([-2.91281599,  0.79000932])"
452,26776,"array([-2.91522928,  0.80352388])"
453,26777,"array([-2.91120746,  0.790889  ])"
454,37975,"array([-2.91367573,  0.78618832])"
455,26779,"array([-2.91921302,  0.79798408])"
456,26780,"array([-2.92255912,  0.7949916 ])"
457,37976,"array([-2.92814524,  0.78146652])"
458,26782,"array([-2.91380697,  0.80126292])"
459,37977,"array([-2.92250567,  0.77347915])"
460,26784,"array([-2.91203742,  0.80667772])"
461,26785,"array([-2.91641952,  0.80498285])"
462,26786,"array([-2.91640434,  0.79451162])"
463,26787,"array([-2.91687946,  0.79346544])"
464,26788,"array([-2.92124963,  0.79593109])"
465,26789,"array([-2.90296241,  0.79752949])"
466,26790,"array([-2.91973898,  0.79658921])"
467,26791,"array([-2.90109643,  0.79541936])"
468,26792,"array([-2.918874  ,  0.79050744])"
469,26793,"array([-2.9138603,  0.7981086])"
470,26794,"array([-2.90819931,  0.80325196])"
471,26795,"array([-2.91090897,  0.8019708 ])"
472,26796,"array([-2.90938384,  0.79043473])"
473,37978,"array([-2.9093428 ,  0.78009923])"
474,37979,"array([-2.90865053,  0.77688544])"
475,26799,"array([-2.91652238,  0.79424437])"
476,26800,"array([-2.91951202,  0.80572692])"
477,26801,"array([-2.919159  ,  0.80366655])"
478,26802,"array([-2.90940153,  0.79798942])"
479,26803,"array([-2.92054967,  0.79456748])"
480,26804,"array([-2.91588729,  0.80662402])"
481,26805,"array([-2.91183719,  0.79616902])"
482,26806,"array([-2.92348722,  0.78740861])"
483,26807,"array([-2.91564162,  0.79020695])"
484,26808,"array([-2.91423264,  0.7989592 ])"
485,26809,"array([-2.90460001,  0.79782984])"
486,26810,"array([-2.9174098 ,  0.80371855])"
487,26811,"array([-2.91671189,  0.79546042])"
488,26812,"array([-2.91856425,  0.78840226])"
489,26813,"array([-2.90625586,  0.80717825])"
490,26814,"array([-2.91560574,  0.80642359])"
491,26815,"array([-2.91769078,  0.80797183])"
492,43363,"array([-2.93886192,  0.80854889])"
493,37981,"array([-2.9261733 ,  0.78131937])"
494,26818,"array([-2.90438035,  0.79384345])"
495,26819,"array([-2.91630361,  0.80514983])"
496,26820,"array([-2.90705748,  0.79794713])"
497,37982,"array([-2.91714014,  0.78412701])"
498,26822,"array([-2.90765917,  0.80003273])"
499,26823,"array([-2.90094937,  0.79889738])"
500,37983,"array([-2.92088938,  0.77536841])"
501,26825,"array([-2.91985142,  0.7899751 ])"
502,26826,"array([-2.91074524,  0.79441411])"
503,26827,"array([-2.90613692,  0.79883694])"
504,37984,"array([-2.92319251,  0.78153946])"
505,26829,"array([-2.9039575,  0.8059689])"
506,37985,"array([-2.90912276,  0.78375714])"
507,26831,"array([-2.9133759 ,  0.79705474])"
508,26832,"array([-2.91288035,  0.8007985 ])"
509,26833,"array([-2.91176225,  0.78834946])"
510,26834,"array([-2.90657779,  0.80907832])"
511,26835,"array([-2.91496061,  0.8001403 ])"
512,26836,"array([-2.90984424,  0.80845373])"
513,513,"array([-2.92059713,  0.79522139])"
514,37986,"array([-2.91727317,  0.78732945])"
515,26838,"array([-2.91976406,  0.79701806])"
516,26839,"array([-2.91553329,  0.79735295])"
517,517,"array([-2.92793712,  0.79628433])"
518,26840,"array([-2.91280615,  0.80558506])"
519,41905,"array([-2.92469029,  0.80889814])"
520,26842,"array([-2.90737751,  0.7981745 ])"
521,26843,"array([-2.91153456,  0.79057795])"
522,26844,"array([-2.90985093,  0.79095342])"
523,523,"array([-2.89724933,  0.78604899])"
524,26845,"array([-2.92047575,  0.79252974])"
525,41906,"array([-2.92043645,  0.79687972])"
526,37989,"array([-2.91567918,  0.78678651])"
527,26848,"array([-2.91053897,  0.79406522])"
528,26849,"array([-2.90516247,  0.79212677])"
529,26850,"array([-2.90940768,  0.79188881])"
530,26851,"array([-2.90197813,  0.79985375])"
531,37990,"array([-2.90997869,  0.77318703])"
532,37991,"array([-2.91164095,  0.78725273])"
533,26854,"array([-2.91326639,  0.80075395])"
534,37992,"array([-2.92357377,  0.77978107])"
535,26856,"array([-2.91158433,  0.78899342])"
536,37993,"array([-2.91166201,  0.77766145])"
537,26858,"array([-2.90843586,  0.8049044 ])"
538,26859,"array([-2.92209172,  0.80532778])"
539,539,"array([-2.90033934,  0.78165182])"
540,26860,"array([-2.89959243,  0.79672151])"
541,26861,"array([-2.90798718,  0.79621957])"
542,26862,"array([-2.91190704,  0.79996983])"
543,26863,"array([-2.90949595,  0.79342444])"
544,26864,"array([-2.91387389,  0.80306368])"
545,545,"array([-2.91787597,  0.79717919])"
546,546,"array([-2.91673502,  0.79211781])"
547,547,"array([-2.9123894 ,  0.79270704])"
548,26865,"array([-2.91514215,  0.80765451])"
549,549,"array([-2.92132394,  0.80421395])"
550,26866,"array([-2.91275575,  0.80022331])"
551,26867,"array([-2.90614678,  0.79415264])"
552,552,"array([-2.90046366,  0.78386886])"
553,553,"array([-2.92577186,  0.79787057])"
554,26868,"array([-2.90289943,  0.79499789])"
555,555,"array([-2.90365018,  0.79439683])"
556,26869,"array([-2.91011148,  0.80807291])"
557,557,"array([-2.91443883,  0.80535939])"
558,558,"array([-2.91896124,  0.79580569])"
559,559,"array([-2.92295764,  0.79716596])"
560,37994,"array([-2.92689666,  0.77987332])"
561,26871,"array([-2.92177576,  0.79077488])"
562,26872,"array([-2.9244565 ,  0.79356165])"
563,26873,"array([-2.90358488,  0.79477845])"
564,26874,"array([-2.90858473,  0.79480319])"
565,565,"array([-2.93201185,  0.78618148])"
566,37995,"array([-2.9209566 ,  0.78060608])"
567,567,"array([-2.91450915,  0.78753247])"
568,26876,"array([-2.90988235,  0.79047906])"
569,26877,"array([-2.91374299,  0.79771851])"
570,26878,"array([-2.91475387,  0.80313653])"
571,571,"array([-2.89657041,  0.78836167])"
572,26879,"array([-2.92323434,  0.8024888 ])"
573,26880,"array([-2.9076265 ,  0.78876096])"
574,26881,"array([-2.91471194,  0.80784039])"
575,575,"array([-2.89586489,  0.78635198])"
576,37996,"array([-2.91449395,  0.78839509])"
577,577,"array([-2.91945155,  0.79225181])"
578,26883,"array([-2.90163437,  0.79760882])"
579,37997,"array([-2.91940381,  0.79043305])"
580,26885,"array([-2.90531443,  0.80405825])"
581,37998,"array([-2.9045349 ,  0.78070044])"
