# index, meta, _pos
111,34248,"array([-10.82371691,  -2.57241775])"
112,9874,"array([-10.82418193,  -2.56850274])"
113,119740,"array([-10.86628129,  -2.53239925])"
114,9110,"array([-10.87060768,  -2.53754213])"
115,21781,"array([-10.80331525,  -2.51396921])"
116,68993,"array([-10.78871392,  -2.55126498])"
117,687,"array([-10.80252476,  -2.55467248])"
118,4817,"array([-10.85099122,  -2.52799336])"
119,6841,"array([-10.85263232,  -2.53281432])"
120,1138154,"array([-10.81865084,  -2.52159076])"
121,117723,"array([-10.82313919,  -2.52489311])"
122,173185,"array([-10.87089729,  -2.53006821])"
123,6213,"array([-10.86842484,  -2.53230209])"
124,193354,"array([-10.79017822,  -2.5520738 ])"
125,193346,"array([-10.78529824,  -2.55558273])"
126,7437,"array([-10.81577503,  -2.54807241])"
127,2511,"array([-10.82307004,  -2.55314628])"
128,11995,"array([-10.79647089,  -2.55592392])"
129,51688,"array([-10.80089203,  -2.54774376])"
130,1152265,"array([-10.81277483,  -2.57070061])"
131,25474,"array([-10.81720827,  -2.55846167])"
132,1102777,"array([-10.80643819,  -2.5512618 ])"
133,1875,"array([-10.81230821,  -2.55690911])"
134,32384,"array([-10.7928638 ,  -2.53383852])"
135,6988,"array([-10.79759428,  -2.53354045])"
136,1068,"array([-10.84530246,  -2.57520771])"
137,1073,"array([-10.84487893,  -2.5741391 ])"
138,1134539,"array([-10.81122264,  -2.4986267 ])"
139,73884,"array([-10.81362299,  -2.50393344])"
140,540138,"array([-10.84466867,  -2.55026819])"
141,536982,"array([-10.84962988,  -2.55659119])"
142,1119594,"array([-10.826989 ,  -2.5663779])"
143,11435,"array([-10.82015238,  -2.55848801])"
144,1153572,"array([-10.87740026,  -2.51749804])"
145,54324,"array([-10.88143385,  -2.5119188 ])"
146,639311,"array([-10.80570667,  -2.52334292])"
147,638562,"array([-10.79282921,  -2.51550757])"
148,1049855,"array([-10.85904206,  -2.52360011])"
149,12169,"array([-10.8541324 ,  -2.52899888])"
150,108073,"array([-10.87440516,  -2.54219138])"
151,6184,"array([-10.87521443,  -2.53847272])"
152,1138136,"array([-10.82381117,  -2.51472368])"
153,346759,"array([-10.82321727,  -2.51489357])"
154,17108,"array([-10.84067492,  -2.52128996])"
155,32745,"array([-10.84036246,  -2.52039637])"
156,182341,"array([-10.81119717,  -2.49272406])"
157,205466,"array([-10.82432944,  -2.49405301])"
158,3849,"array([-10.80721325,  -2.55376156])"
159,1327,"array([-10.80418834,  -2.55514937])"
160,394447,"array([-10.81740405,  -2.54411497])"
161,9362,"array([-10.81693259,  -2.54397126])"
162,248119,"array([-10.85406471,  -2.52411518])"
163,42221,"array([-10.85249505,  -2.52471113])"
164,1135103,"array([-10.80879775,  -2.55271605])"
165,375544,"array([-10.805472  ,  -2.54886937])"
166,13413,"array([-10.83072992,  -2.54608408])"
167,4013,"array([-10.81968254,  -2.55083639])"
168,28542,"array([-10.86682399,  -2.53019899])"
169,1114471,"array([-10.8087985 ,  -2.54388793])"
170,65,"array([-10.80778881,  -2.55624734])"
171,840770,"array([-10.82753385,  -2.53363302])"
172,204371,"array([-10.82826795,  -2.54320319])"
173,169983,"array([-10.85392846,  -2.48710809])"
174,220680,"array([-10.85613254,  -2.48490451])"
175,1153369,"array([-10.82762015,  -2.54757603])"
176,487859,"array([-10.83238163,  -2.54505886])"
177,1153827,"array([-10.87760799,  -2.52530678])"
178,11335,"array([-10.87544101,  -2.52602852])"
179,1153248,"array([-10.8478117 ,  -2.50874159])"
180,6657,"array([-10.84262686,  -2.50964756])"
181,47432,"array([-10.82570211,  -2.56544783])"
182,463615,"array([-10.8375554 ,  -2.53115609])"
183,191363,"array([-10.8415927 ,  -2.53493201])"
184,1144420,"array([-10.82889942,  -2.56634703])"
185,32398,"array([-10.82968228,  -2.56989456])"
186,1153335,"array([-10.80667767,  -2.54363737])"
187,84004,"array([-10.8181176 ,  -2.54886603])"
188,1154703,"array([-10.8064856 ,  -2.55562692])"
189,1016,"array([-10.81262903,  -2.55257221])"
190,501843,"array([-10.82117121,  -2.55212812])"
191,15360,"array([-10.81908842,  -2.55155607])"
192,201046,"array([-10.82632426,  -2.55325615])"
193,12726,"array([-10.82352748,  -2.55963356])"
194,19296,"array([-10.80908282,  -2.55363647])"
195,763674,"array([-10.81139242,  -2.55572893])"
196,43435,"array([-10.86488814,  -2.54224012])"
197,5045,"array([-10.86876152,  -2.53530677])"
198,15361,"array([-10.81261493,  -2.55930569])"
199,1128408,"array([-10.87341492,  -2.51509169])"
200,936,"array([-10.86933481,  -2.51576059])"
201,47954,"array([-10.81754724,  -2.53887413])"
202,47943,"array([-10.81544262,  -2.53757551])"
203,1109192,"array([-10.81041185,  -2.53394468])"
204,11734,"array([-10.81235867,  -2.53699907])"
205,646809,"array([-10.86196139,  -2.51222262])"
206,8874,"array([-10.85998124,  -2.52360868])"
207,17488,"array([-10.86748663,  -2.53073723])"
208,17201,"array([-10.86522283,  -2.52949571])"
209,1140919,"array([-10.82338731,  -2.54015077])"
210,47950,"array([-10.82738005,  -2.53948611])"
211,13113,"array([-10.88449033,  -2.5556363 ])"
212,13096,"array([-10.88555889,  -2.55638132])"
213,1122963,"array([-10.89027664,  -2.55722821])"
214,263553,"array([-10.89371369,  -2.56117056])"
215,3321,"array([-10.80627933,  -2.54825271])"
216,3323,"array([-10.8095812 ,  -2.54671496])"
217,23396,"array([-10.81600239,  -2.55120833])"
218,416455,"array([-10.87074805,  -2.52233591])"
219,127033,"array([-10.87206546,  -2.51888638])"
220,86437,"array([-10.79676584,  -2.51375533])"
221,322984,"array([-10.79955723,  -2.50168279])"
222,609658,"array([-10.8423726 ,  -2.52330915])"
223,1463,"array([-10.84442622,  -2.53141927])"
224,592996,"array([-10.86322948,  -2.52049251])"
225,54131,"array([-10.85848795,  -2.52022095])"
226,44635,"array([-10.79962875,  -2.52959395])"
227,50071,"array([-10.80075307,  -2.5256668 ])"
228,1124012,"array([-10.86703383,  -2.53382294])"
229,124064,"array([-10.86618349,  -2.53094302])"
230,381451,"array([-10.81961594,  -2.53983205])"
231,119639,"array([-10.8145057 ,  -2.52816053])"
232,9364,"array([-10.81855684,  -2.54520203])"
233,22630,"array([-10.81557354,  -2.54715728])"
234,88401,"array([-10.81386679,  -2.5780346 ])"
235,10894,"array([-10.81628904,  -2.5757905 ])"
236,243824,"array([-10.88260356,  -2.57631299])"
237,120959,"array([-10.87975113,  -2.57689489])"
238,1152422,"array([-10.82824182,  -2.5632579 ])"
239,10480,"array([-10.82840299,  -2.56549062])"
240,1917,"array([-10.86276162,  -2.53007701])"
241,24530,"array([-10.8618579 ,  -2.52565954])"
242,681546,"array([-10.83210362,  -2.50885607])"
243,665119,"array([-10.83130502,  -2.50986778])"
244,1136958,"array([-10.85945669,  -2.58865097])"
245,775406,"array([-10.86097181,  -2.59655742])"
246,89067,"array([-10.85860176,  -2.53164919])"
247,127023,"array([-10.8598967 ,  -2.52925806])"
248,41368,"array([-10.79448293,  -2.50795201])"
249,41365,"array([-10.79397026,  -2.5083455 ])"
250,1141130,"array([-10.79325411,  -2.54750285])"
251,7223,"array([-10.80134032,  -2.54620683])"
252,1154203,"array([-10.80776877,  -2.54073293])"
253,142097,"array([-10.81494056,  -2.54742256])"
254,28256,"array([-10.86962965,  -2.52602205])"
255,6209,"array([-10.87096419,  -2.53214679])"
256,1154328,"array([-10.8001567 ,  -2.53692952])"
257,25081,"array([-10.79877214,  -2.53193453])"
258,41458,"array([-10.81217547,  -2.52017653])"
259,77911,"array([-10.81272583,  -2.5239469 ])"
260,1131656,"array([-10.8317636 ,  -2.55758594])"
261,12065,"array([-10.82355834,  -2.56905738])"
262,112378,"array([-10.86614525,  -2.52771548])"
263,10435,"array([-10.87109632,  -2.52370497])"
264,7261,"array([-10.80149627,  -2.53393204])"
265,44683,"array([-10.80707077,  -2.53304007])"
266,1050887,"array([-10.80695237,  -2.53034283])"
267,613,"array([-10.8171647 ,  -2.52220687])"
268,659334,"array([-10.85483508,  -2.54212652])"
269,58963,"array([-10.84493494,  -2.53033185])"
270,1106952,"array([-10.87135486,  -2.53185588])"
271,6238,"array([-10.86631051,  -2.52652271])"
272,4792,"array([-10.84150584,  -2.52497025])"
273,54268,"array([-10.83736249,  -2.51855387])"
274,2663,"array([-10.88285372,  -2.54755903])"
275,7047,"array([-10.8785355 ,  -2.53857166])"
276,1107942,"array([-10.87924201,  -2.51987096])"
277,1272,"array([-10.86859696,  -2.52684205])"
278,250258,"array([-10.81378959,  -2.55224286])"
279,5222,"array([-10.81177488,  -2.54944319])"
280,552022,"array([-10.81550197,  -2.5209025 ])"
281,21096,"array([-10.82430892,  -2.52468372])"
282,853563,"array([-10.78433855,  -2.52724475])"
283,847846,"array([-10.78424402,  -2.52640768])"
284,41308,"array([-10.83921585,  -2.56039826])"
285,80080,"array([-10.83639153,  -2.55474224])"
286,176516,"array([-10.86410378,  -2.57060631])"
287,33086,"array([-10.87513498,  -2.56875868])"
288,1152298,"array([-10.81972088,  -2.54897588])"
289,1553,"array([-10.8161682 ,  -2.54824768])"
290,229342,"array([-10.81204453,  -2.54995502])"
291,24425,"array([-10.80707304,  -2.55162362])"
292,19804,"array([-10.87502204,  -2.52808247])"
293,17798,"array([-10.87368643,  -2.5269745 ])"
294,1136787,"array([-10.79457645,  -2.53407721])"
295,1416,"array([-10.79995342,  -2.53597132])"
296,313625,"array([-10.84669012,  -2.55735767])"
297,27802,"array([-10.83705297,  -2.5557902 ])"
298,661013,"array([-10.81974603,  -2.5543858 ])"
299,2537,"array([-10.80375297,  -2.55577399])"
300,1153797,"array([-10.82292968,  -2.55495592])"
301,59969,"array([-10.82398742,  -2.55232619])"
302,1138119,"array([-10.80912718,  -2.52228345])"
303,804366,"array([-10.80812737,  -2.51716214])"
304,760458,"array([-10.86840098,  -2.55224077])"
305,20373,"array([-10.86482104,  -2.53974036])"
306,1140911,"array([-10.82332412,  -2.514246  ])"
307,2143,"array([-10.82481165,  -2.51540106])"
308,41601,"array([-10.80962307,  -2.53878213])"
309,16721,"array([-10.80033064,  -2.54600694])"
310,3946,"array([-10.82037462,  -2.55294039])"
311,55640,"array([-10.82347805,  -2.55336139])"
312,59,"array([-10.81627101,  -2.55153323])"
313,130081,"array([-10.81079845,  -2.54489341])"
314,118531,"array([-10.8269783 ,  -2.63259737])"
315,18419,"array([-10.82755726,  -2.62897754])"
316,411170,"array([-10.79779592,  -2.56575845])"
317,95151,"array([-10.81014113,  -2.55388149])"
318,77251,"array([-10.8158871 ,  -2.55061568])"
319,7692,"array([-10.817834  ,  -2.55598319])"
320,62326,"array([-10.86530321,  -2.54118446])"
321,1388,"array([-10.86294244,  -2.53852199])"
322,9224,"array([-10.82780932,  -2.5645659 ])"
323,726801,"array([-10.81940835,  -2.51132632])"
324,343764,"array([-10.81515395,  -2.51177911])"
325,180898,"array([-10.79252087,  -2.54995873])"
326,995,"array([-10.7987388 ,  -2.54689883])"
327,62469,"array([-10.88036596,  -2.52018042])"
328,163698,"array([-10.87731365,  -2.52625665])"
329,1129965,"array([-10.81047495,  -2.53341202])"
330,649,"array([-10.81791088,  -2.5201751 ])"
331,5043,"array([-10.87404616,  -2.53712199])"
332,1154535,"array([-10.85726343,  -2.52592788])"
333,200419,"array([-10.85920005,  -2.52193329])"
334,400356,"array([-10.88632204,  -2.55460431])"
335,12330,"array([-10.8791945 ,  -2.55066984])"
336,600398,"array([-10.85098853,  -2.54065542])"
337,380546,"array([-10.85057982,  -2.54101575])"
338,1153003,"array([-10.88351611,  -2.51543013])"
339,24196,"array([-10.87476936,  -2.51517531])"
340,1113083,"array([-10.81326896,  -2.54467929])"
341,2473,"array([-10.81916754,  -2.54446434])"
342,4612,"array([-10.82396183,  -2.56753835])"
343,399561,"array([-10.82227601,  -2.56791406])"
344,1124940,"array([-10.80652023,  -2.56892986])"
345,63510,"array([-10.81316032,  -2.57679319])"
346,477513,"array([-10.83445973,  -2.53637398])"
347,2950,"array([-10.83351517,  -2.53878564])"
348,107313,"array([-10.81203443,  -2.56463774])"
349,431115,"array([-10.80362777,  -2.56595317])"
350,1153008,"array([-10.80601737,  -2.55060455])"
351,2390,"array([-10.80702984,  -2.55545815])"
352,25830,"array([-10.79891181,  -2.52688492])"
353,252541,"array([-10.80795051,  -2.53361565])"
354,551889,"array([-10.80768793,  -2.52877099])"
355,39039,"array([-10.81597257,  -2.54163545])"
356,1153583,"array([-10.81461727,  -2.54285601])"
357,504951,"array([-10.81801577,  -2.54105271])"
358,963399,"array([-10.86438625,  -2.54004179])"
359,311328,"array([-10.84350376,  -2.53999603])"
360,1153978,"array([-10.80928595,  -2.50058665])"
361,93992,"array([-10.80753208,  -2.50673532])"
362,52218,"array([-10.796595  ,  -2.54530761])"
363,5291,"array([-10.80243225,  -2.55340882])"
364,3609,"array([-10.81256537,  -2.51463097])"
365,1766,"array([-10.80833974,  -2.52003476])"
366,13195,"array([-10.86232066,  -2.52808667])"
367,479690,"array([-10.86132799,  -2.52706124])"
368,1114192,"array([-10.89331885,  -2.56013665])"
369,2696,"array([-10.88960382,  -2.55591809])"
370,1152719,"array([-10.80524904,  -2.55184396])"
371,24080,"array([-10.80370794,  -2.5527354 ])"
372,373884,"array([-10.87466133,  -2.51962251])"
373,58717,"array([-10.87428681,  -2.51941331])"
374,1153759,"array([-10.83862926,  -2.52036577])"
375,4139,"array([-10.83482568,  -2.51988856])"
376,206986,"array([-10.84972495,  -2.52944323])"
377,41417,"array([-10.85983807,  -2.51854627])"
378,235679,"array([-10.78704705,  -2.55855675])"
379,235678,"array([-10.78480296,  -2.56038421])"
380,95450,"array([-10.85681213,  -2.52008887])"
381,852589,"array([-10.81469336,  -2.53368576])"
382,253569,"array([-10.82154489,  -2.52464666])"
383,26303,"array([-10.82655592,  -2.55619567])"
384,29008,"array([-10.82408315,  -2.55453903])"
385,425758,"array([-10.84755612,  -2.5248513 ])"
386,31216,"array([-10.8414787 ,  -2.53029688])"
387,1139778,"array([-10.81435201,  -2.55030033])"
388,126179,"array([-10.81260318,  -2.54156807])"
389,1119295,"array([-10.8718189 ,  -2.52640224])"
390,46803,"array([-10.86379762,  -2.5360126 ])"
391,85599,"array([-10.7943364 ,  -2.52558634])"
392,12715,"array([-10.79872672,  -2.52628405])"
393,1122855,"array([-10.81038197,  -2.55657695])"
394,1851,"array([-10.81168913,  -2.55627953])"
395,953027,"array([-10.78708955,  -2.55775777])"
396,11148,"array([-10.7934876,  -2.554566 ])"
397,1114901,"array([-10.83094518,  -2.50875849])"
398,1565,"array([-10.83325249,  -2.51474502])"
399,40228,"array([-10.85574744,  -2.5536617 ])"
400,26939,"array([-10.85341698,  -2.54749726])"
401,83461,"array([-10.87559923,  -2.51937245])"
402,1730,"array([-10.8690393 ,  -2.52711851])"
403,2954,"array([-10.81787779,  -2.5383481 ])"
404,19560,"array([-10.80971456,  -2.52494557])"
405,168332,"array([-10.86831218,  -2.52652864])"
406,887,"array([-10.86876401,  -2.52535841])"
407,25805,"array([-10.85875077,  -2.52177245])"
408,4804,"array([-10.86036849,  -2.52794733])"
409,1104767,"array([-10.79589278,  -2.554991  ])"
410,5046,"array([-10.86758591,  -2.53839379])"
411,4518,"array([-10.86304184,  -2.54224809])"
412,454860,"array([-10.80741548,  -2.57142234])"
413,26826,"array([-10.81224406,  -2.5666181 ])"
414,1133870,"array([-10.87233243,  -2.57629388])"
415,120781,"array([-10.88009   ,  -2.57942941])"
416,1134122,"array([-10.80044365,  -2.5374766 ])"
417,124256,"array([-10.80538743,  -2.53275832])"
418,1129570,"array([-10.86278414,  -2.52358437])"
419,605506,"array([-10.85905866,  -2.5320005 ])"
420,3444,"array([-10.83780727,  -2.52922334])"
421,3465,"array([-10.84126261,  -2.53909476])"
422,36964,"array([-10.80669112,  -2.51185292])"
423,95843,"array([-10.81532993,  -2.51529149])"
424,28228,"array([-10.85846625,  -2.53060561])"
425,217912,"array([-10.83455161,  -2.52855708])"
426,125110,"array([-10.82561931,  -2.52916199])"
427,25960,"array([-10.81247473,  -2.54469903])"
428,81885,"array([-10.80919675,  -2.53902442])"
429,1125336,"array([-10.81048409,  -2.50543933])"
430,508137,"array([-10.81456781,  -2.50695757])"
431,18711,"array([-10.81942694,  -2.555685  ])"
432,37515,"array([-10.80971844,  -2.55861138])"
433,742450,"array([-10.83226164,  -2.54922293])"
434,678277,"array([-10.83978137,  -2.56088432])"
435,134023,"array([-10.81744484,  -2.5524796 ])"
436,7474,"array([-10.8082616 ,  -2.54678341])"
437,46631,"array([-10.79864847,  -2.53648599])"
438,1424,"array([-10.79952278,  -2.53704312])"
439,618099,"array([-10.87522873,  -2.53948339])"
440,620151,"array([-10.88070323,  -2.53132364])"
441,72219,"array([-10.86626233,  -2.53746413])"
442,17198,"array([-10.86636881,  -2.53516479])"
443,1114238,"array([-10.83181757,  -2.58799939])"
444,129532,"array([-10.83881423,  -2.59314583])"
445,121344,"array([-10.81201276,  -2.54804665])"
446,26008,"array([-10.80863139,  -2.55071797])"
447,3629,"array([-10.8060514 ,  -2.52145892])"
448,12648,"array([-10.80085805,  -2.5285364 ])"
449,1088830,"array([-10.85475221,  -2.54321611])"
450,34897,"array([-10.86118788,  -2.53803291])"
451,1152127,"array([-10.80447863,  -2.55905448])"
452,3414,"array([-10.8064757 ,  -2.55963673])"
453,1105442,"array([-10.80229179,  -2.54566914])"
454,1154021,"array([-10.87348103,  -2.54516953])"
455,628459,"array([-10.88019163,  -2.55142937])"
456,463825,"array([-10.87756558,  -2.53422049])"
457,49811,"array([-10.87436245,  -2.53038889])"
458,1125308,"array([-10.83201174,  -2.55825616])"
459,11499,"array([-10.82831543,  -2.56382488])"
460,28809,"array([-10.83793545,  -2.50924168])"
461,28806,"array([-10.84348562,  -2.51171067])"
462,1153320,"array([-10.86798273,  -2.54061956])"
463,32872,"array([-10.8644039 ,  -2.53472701])"
464,1130109,"array([-10.81959658,  -2.54756492])"
465,161685,"array([-10.81783318,  -2.54485073])"
466,712362,"array([-10.7965135 ,  -2.54038986])"
467,49036,"array([-10.80142605,  -2.54561662])"
468,1153570,"array([-10.83559861,  -2.50433328])"
469,10767,"array([-10.83027951,  -2.50658935])"
470,101662,"array([-10.8737306 ,  -2.51835237])"
471,101811,"array([-10.8629392 ,  -2.51880806])"
472,1153168,"array([-10.82804368,  -2.55382065])"
473,1583,"array([-10.82537712,  -2.56246484])"
474,1113682,"array([-10.88423034,  -2.54258812])"
475,53212,"array([-10.87182314,  -2.55450013])"
476,187885,"array([-10.83408998,  -2.50992149])"
477,227712,"array([-10.83908525,  -2.51410996])"
478,613894,"array([-10.80301602,  -2.56046917])"
479,545056,"array([-10.80644774,  -2.56044191])"
480,1116348,"array([-10.82051915,  -2.53585709])"
481,1461,"array([-10.81699709,  -2.54502957])"
482,9136,"array([-10.80668563,  -2.55528742])"
483,355209,"array([-10.86180144,  -2.5768079 ])"
484,52387,"array([-10.85520199,  -2.57333609])"
485,161244,"array([-10.79922143,  -2.55482995])"
486,686,"array([-10.80054854,  -2.55389005])"
487,778449,"array([-10.80446337,  -2.54221923])"
488,778396,"array([-10.80757011,  -2.54220492])"
489,210861,"array([-10.81982897,  -2.56047008])"
490,9875,"array([-10.82609767,  -2.56478915])"
491,24699,"array([-10.8053075 ,  -2.53961748])"
492,18137,"array([-10.80788825,  -2.54013438])"
493,17128,"array([-10.83252185,  -2.51362458])"
494,2246,"array([-10.82995074,  -2.51225898])"
495,1153624,"array([-10.8299564 ,  -2.56605843])"
496,14785,"array([-10.82733528,  -2.55926526])"
497,3095,"array([-10.87020936,  -2.51431942])"
498,10430,"array([-10.87243842,  -2.51731163])"
499,446612,"array([-10.87579144,  -2.55313474])"
500,288904,"array([-10.87430047,  -2.55541943])"
501,61888,"array([-10.79956599,  -2.54837793])"
502,52255,"array([-10.81434925,  -2.53769574])"
503,1111335,"array([-10.83762635,  -2.5246594 ])"
504,32783,"array([-10.84276077,  -2.52968286])"
505,38107,"array([-10.80401513,  -2.51037899])"
506,81762,"array([-10.80124219,  -2.50478556])"
507,1123883,"array([-10.79825532,  -2.50999233])"
508,104179,"array([-10.80275605,  -2.51506952])"
509,1124097,"array([-10.81229368,  -2.53869655])"
510,7098,"array([-10.80496416,  -2.53322972])"
511,3391,"array([-10.80639873,  -2.55401319])"
512,12684,"array([-10.80464574,  -2.55477778])"
513,1126808,"array([-10.80938913,  -2.5552403 ])"
514,4770,"array([-10.81275186,  -2.55394865])"
515,861422,"array([-10.82970672,  -2.55561412])"
516,38323,"array([-10.82032082,  -2.54630541])"
517,604622,"array([-10.80956699,  -2.5575867 ])"
518,19334,"array([-10.81510874,  -2.55965158])"
519,93479,"array([-10.82143477,  -2.54845847])"
520,737,"array([-10.82127774,  -2.54638815])"
521,1111260,"array([-10.79988086,  -2.53294524])"
522,8703,"array([-10.87262814,  -2.52241397])"
523,85688,"array([-10.87347615,  -2.52282608])"
524,808325,"array([-10.86529571,  -2.50698671])"
525,330116,"array([-10.86222059,  -2.51349788])"
526,1153571,"array([-10.84011074,  -2.49913444])"
527,92909,"array([-10.84005542,  -2.50380909])"
528,112357,"array([-10.80809024,  -2.52554537])"
529,3493,"array([-10.80205046,  -2.53507684])"
530,1129111,"array([-10.88646276,  -2.55703236])"
531,910,"array([-10.8809056 ,  -2.55010258])"
532,243802,"array([-10.88617749,  -2.57793806])"
533,58165,"array([-10.88494008,  -2.57442248])"
534,1153366,"array([-10.83854901,  -2.54380938])"
535,482421,"array([-10.84132552,  -2.55350291])"
536,16696,"array([-10.81246826,  -2.53008341])"
537,36274,"array([-10.81314772,  -2.53019842])"
538,1119336,"array([-10.788526  ,  -2.54180959])"
539,39530,"array([-10.79847657,  -2.54542995])"
540,151471,"array([-10.85797513,  -2.52010891])"
541,42585,"array([-10.85784497,  -2.52152701])"
542,96344,"array([-10.87020377,  -2.55259154])"
543,96389,"array([-10.86602201,  -2.56191383])"
544,820489,"array([-10.86164656,  -2.51699566])"
545,78015,"array([-10.8106317 ,  -2.53628637])"
546,5111,"array([-10.80900714,  -2.53533737])"
547,325746,"array([-10.8212217 ,  -2.59112698])"
